,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
230,Ezequiel Lavezzi PSG,37, AM(CLR),FW,25(7),1893,-,1.1,20.6,79.7,1.2,1.1,-,6.78
231,Jérémie Aliadière Lorient,39, FW,,24(3),2064,3,0.9,19.0,72.7,0.1,0.7,-,6.78
232,Renaud Cohade Saint-Etienne,38, M(C),,22(11),2099,1,0.9,35.9,77.0,0.3,1.9,0.1,6.77
233,Azbe Jug Bordeaux,30, Goalkeeper,,1,90,-,-,22.0,81.8,-,9.0,-,6.77
234,Filip Djordjevic Nantes,35, FW,,27,2277,4,0.8,22.0,66.4,0.1,0.3,-,6.77
235,M'Baye Niang Montpellier,27, AM(LR),FW,17(2),1386,2,0.9,23.1,66.9,0.2,0.7,0.1,6.77
236,Paul Lasne AC Ajaccio,33, M(CLR),,32(2),2826,4,0.6,26.5,80.8,0.4,1.2,-,6.77
237,Elderson Echiéjilé Monaco,34, D(L),,5,450,-,0.8,36.4,83.0,-,0.6,-,6.76
238,Túlio de Melo Evian,37, FW,,4(1),289,-,0.2,17.6,59.1,-,0.4,0.2,6.76
239,Steve Mandanda Marseille,37, GK,,38,3354,-,0.1,18.6,57.5,-,5.1,-,6.76
240,Lamine Koné Lorient,33, D(C),,14(4),1282,-,-,20.5,72.6,-,2.5,-,6.76
241,André Biyogo Poko Bordeaux,29, D(R),M(CR),11(7),1007,-,0.3,27.7,79.0,0.2,1.9,-,6.76
242,Arthur Masuaku Valenciennes,29, D(L),M(L),27,2363,4,0.9,28.2,73.2,0.8,1.7,-,6.75
243,Cédric Hountondji Rennes,28, D(C),,14(4),1389,-,0.1,30.7,83.9,-,1.7,-,6.75
244,Josuha Guilavogui Saint-Etienne,32, D(C),M(C),7(2),630,1,0.9,37.7,86.4,0.1,4.1,-,6.74
245,Grégory Bourillon Lorient,38, D(C),DMC,25(4),2155,2,0.5,41.1,82.9,0.1,6.3,-,6.74
246,Nicolas de Préville Reims,31, AM(CLR),FW,24(8),2070,2,0.8,17.1,70.7,0.3,0.5,-,6.74
247,Abdoulaye Doucouré Rennes,29, M(C),,12(8),1170,4,0.8,27.9,80.8,0.1,1.2,-,6.73
248,Yohan Cabaye PSG,36, M(C),,9(6),819,2,0.6,49.7,91.4,0.2,4.7,-,6.73
249,Karim Aït Fana Montpellier,33, AM(CL),,1(3),112,-,0.3,7.5,73.3,-,-,-,6.73
250,Francois Modesto SC Bastia,44, D(C),DMC,33(1),2955,1,0.2,28.4,75.9,-,2.7,-,6.73
251,Mohammed Rabiu Al-Hassan Evian,32, M(C),,1,90,-,1,44.0,86.4,-,5.0,-,6.73
252,Magno Macedo Novaes Valenciennes,39, GK,,10,900,-,-,16.8,62.5,-,6.4,-,6.73
253,Birama Touré Nantes,30, DMC,,25(6),2225,-,0.5,31.4,77.8,0.1,2.3,0.1,6.73
254,Steeve Yago Toulouse,29, D(CLR),,18(6),1754,-,-,33.1,85.0,-,2.3,-,6.73
