,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
106,Damián Suárez Getafe,34, D(R),M(R),33,2879,2.6,1.4,1.6,0.4,2.0,1.4,0.2,-,6.92
107,Víctor Laguardia Deportivo Alaves,33, D(C),,17,1530,1.2,1.7,0.6,0.5,6.4,0.5,0.8,1,6.92
108,Alberto de la Bella Real Sociedad,36, D(L),,17,1529,2.1,1.2,1.2,0.4,2.5,0.7,0.3,-,6.92
109,Guido Pizarro Sevilla,32, DMC,,19(5),1754,3.1,1.1,2.0,-,2.0,1.6,0.3,-,6.92
110,Stefan Savic Atletico,31, D(C),,26(1),2299,1.1,1.7,0.9,0.1,5.4,0.9,0.9,1,6.91
111,Andrés Guardado Real Betis,36, D(L),M(CL),25(4),2267,1.4,0.8,1.1,0.2,0.9,1.4,0.2,-,6.91
112,Lucas Vázquez Real Madrid,31, D(R),M(R),16(17),1670,1.5,0.2,1,-,0.2,0.9,0.1,-,6.91
113,Yannick Carrasco Atletico,29, M(CLR),FW,8(9),900,1,0.2,0.8,-,0.1,0.3,-,-,6.91
114,Manu Trigueros Villarreal,31, M(CLR),FW,32(2),2709,1.8,0.6,1.1,-,1.2,1.5,0.4,-,6.91
115,José Campaña Levante,29, M(CLR),,33(2),2745,1.6,1.3,0.9,-,0.9,1.1,0.3,-,6.91
116,Andrés Iniesta Barcelona,38, M(CL),,25(5),1843,0.9,0.3,0.5,-,0.3,0.8,0.1,-,6.91
117,Peter Etebo Las Palmas,26, M(CL),FW,14,1216,1.7,1.9,1.5,-,0.6,1.0,0.2,-,6.91
118,Roberto Rosales Malaga,33, D(R),M(R),35,3125,3,1.7,1.3,0.5,2.5,1.0,0.4,-,6.9
119,Marc-André ter Stegen Barcelona,30, GK,,37,3330,-,0.1,-,-,0.7,0.1,-,-,6.9
120,Nacho Real Madrid,32, D(CLR),,22(5),2073,2.0,1.7,1.2,0.4,1.8,0.7,0.3,1,6.9
121,Víctor Ruiz Villarreal,33, D(C),,27,2417,1.2,2.1,1.0,0.7,4.9,0.4,0.7,-,6.9
122,Pablo Fornals Villarreal,26, M(CLR),,30(5),2623,1.5,0.6,1.0,-,0.4,1.2,0.1,-,6.9
123,Yerry Mina Barcelona,28, D(C),,4(1),370,2.0,1.2,1.2,0.8,3.2,0.4,0.6,-,6.89
124,Gabriel Paulista Valencia,31, D(CR),,29(1),2584,1.6,1.7,0.8,0.7,4.5,0.5,0.5,-,6.89
125,Dimitrios Siovas Leganes,34, D(C),,24,2062,2.0,2.6,1.2,0.7,3.6,0.7,0.5,-,6.89
126,Steven Nzonzi Sevilla,33, M(C),,26(1),2216,1.4,1.0,1.1,0.1,1.3,0.4,0.3,-,6.89
127,Celso Borges Deportivo,34, D(C),M(C),26(6),2307,1.9,1.1,1.1,-,1.1,1.0,0.2,-,6.89
128,Íñigo Martínez Athletic Bilbao,31, D(C),,16,1440,1.8,1.9,1.3,1,5.1,0.7,0.5,-,6.89
129,Fede Cartabia Deportivo,29, AM(CLR),,16(4),1333,1.9,0.9,1.2,-,0.3,1.0,-,-,6.89
130,Nacho Vidal Valencia,27, D(R),,5(2),447,2.4,1.4,0.7,0.3,1.4,1.1,0.3,-,6.88
131,David Soria Sevilla,29, GK,,15,1265,0.1,0.1,-,-,1.7,-,-,-,6.87
132,David López Espanyol,33, D(C),DMC,37,3330,1.8,1.8,1.2,0.6,4.2,0.7,0.7,-,6.87
133,Paulinho Barcelona,34, M(CR),,21(13),1941,1.1,0.4,0.9,-,0.4,0.8,0.1,-,6.87
134,Íñigo Martínez Real Sociedad,31, D(C),,12,1056,1.2,1.9,0.8,0.5,4.5,0.5,0.3,-,6.87
135,Clément Lenglet Sevilla,27, D(C),,33(2),3002,1.9,1,1.5,0.6,4.3,0.5,0.8,-,6.87
136,Jaume Doménech Valencia,32, GK,,5,450,-,-,-,-,1.2,-,-,-,6.87
137,Daniel Wass Celta Vigo,33, D(LR),M(CLR),34(1),2941,0.9,0.9,0.7,0.1,1.1,0.5,0.1,-,6.87
138,Bernardo Espinosa Girona,33, D(C),,32(2),2869,1.1,1.9,1.2,1.1,5.0,0.4,0.6,-,6.86
139,Miguel Ángel Moyá Real Sociedad,38, GK,,9,765,-,0.2,0.1,-,1.0,0.1,-,-,6.86
140,Adnan Januzaj Real Sociedad,27, AM(CLR),,18(10),1580,0.6,0.4,1.1,-,0.1,0.5,-,-,6.86
141,Juanfran Deportivo,34, D(R),M(R),34(1),3058,1.8,1.8,0.7,0.3,2.9,0.9,0.3,-,6.86
142,Sergio Canales Real Sociedad,31, M(CLR),,20(16),1921,0.8,0.3,0.6,-,0.1,0.6,-,-,6.86
143,Jaume Costa Villarreal,34, D(LR),M(L),29(1),2541,2.2,1.5,1.8,0.4,2.5,0.6,0.3,-,6.86
144,Anaitz Arbilla Eibar,35, D(CLR),,26(3),2411,1.3,2.7,0.9,1.4,3.6,0.7,0.3,1,6.85
145,Francis Guerrero Real Betis,26, D(R),M(LR),10(4),992,2.2,1.5,1.2,0.4,1.6,1.3,0.3,-,6.85
146,Borja García Girona,32, AM(CL),,34(3),2815,1.1,0.8,0.7,-,0.3,0.7,0.1,-,6.85
147,Raphaël Varane Real Madrid,29, D(C),,27,2324,1.0,1.2,0.7,0.8,4.0,0.3,0.4,-,6.85
148,Ángel Correa Atletico,27, AM(CLR),FW,27(10),2265,1.1,0.7,1.3,-,0.4,1.3,-,-,6.85
149,Zouhair Feddal Real Betis,32, D(C),,14(1),1257,1.5,2.4,1.3,0.9,6.1,0.3,0.9,1,6.85
150,Vitolo Las Palmas,33, M(CLR),FW,8(1),690,1.7,0.7,0.6,-,0.3,1.4,0.3,-,6.85
151,Fayçal Fajr Getafe,34, M(CLR),,26(5),2384,2.0,1.0,1.5,0.1,1.3,1.6,0.1,-,6.84
152,Diego Costa Atletico,34, FW,,13(2),1048,1.1,0.3,1.5,-,0.1,0.7,0.3,-,6.84
153,Xabi Prieto Real Sociedad,39, M(CLR),,24(2),1940,0.7,0.3,0.6,-,0.8,0.3,0.1,-,6.84
154,Aïssa Mandi Real Betis,31, D(CLR),,34,3025,1.6,2.1,1.0,0.9,3.7,0.4,0.7,-,6.84
155,David Lombán Eibar,35, D(C),,11(2),996,1.2,2.2,0.7,0.9,4.9,0.4,0.3,-,6.84
156,Simone Zaza Valencia,31, FW,,23(10),2079,0.6,0.2,1.2,-,1,0.6,-,-,6.83
157,Lucas Pérez Deportivo,34, AM(CR),FW,31(4),2796,0.5,0.3,0.7,-,-,0.9,-,-,6.83
158,Álvaro Medrán Just Valencia,28, M(C),,1,73,1.0,3.0,3.0,-,1,1.0,-,-,6.83
159,Diego Llorente Real Sociedad,29, D(C),DMC,26(1),2328,1.1,1.6,1.3,0.6,3.5,0.4,0.7,-,6.83
160,Rodrigo Ely Deportivo Alaves,29, D(C),,30(1),2692,1,1.6,0.9,0.5,5.7,0.5,1.2,-,6.83
161,Raúl Navas Real Sociedad,34, D(C),,20,1792,1.1,1.5,0.7,1.1,3.6,0.6,0.7,-,6.83
162,Fabian Schär Deportivo,30, D(C),,25,2220,2.4,1.8,1.6,1,5.6,1.2,0.8,-,6.82
163,Raúl Fernández Levante,34, GK,,11,990,-,-,-,-,1.2,-,-,-,6.82
164,Alejandro Gálvez Eibar,33, D(C),M(C),4,360,2.8,3.3,0.5,1.3,4.3,1.3,0.3,-,6.82
165,Sidnei Deportivo,33, D(C),,21,1780,2,1.5,0.6,0.5,4.7,0.3,0.4,-,6.82
166,Unai Bustinza Leganes,30, D(CR),,18(2),1636,1.8,2.4,1.4,0.8,3.2,0.9,0.5,-,6.82
167,Vicente Guaita Getafe,35, GK,,33,2970,-,0.1,-,-,1.0,-,-,-,6.82
168,Simon Kjaer Sevilla,33, D(C),,18(2),1572,1.8,1.6,0.9,0.5,5.3,0.5,0.5,-,6.82
169,Iago Herrerín Athletic Bilbao,34, GK,,8,720,0.3,-,0.3,-,1.3,-,-,-,6.82
170,Gabi Atletico,39, M(C),,25(9),2347,2.4,1.3,1.5,-,1.1,1.9,0.3,-,6.81
171,Guillermo Maripán Deportivo Alaves,28, D(C),,17(2),1527,1.5,1.9,0.8,0.4,5.6,0.8,0.5,-,6.81
172,Carlos Isaac Atletico,24, Defender,,1,64,1,2,2,-,1,2,-,-,6.81
173,Munir El Haddadi Deportivo Alaves,27, AM(LR),FW,28(5),2458,0.8,0.3,1,-,0.2,0.3,0.1,-,6.81
174,Portu Girona,30, AM(CLR),FW,35(2),3014,0.8,0.3,1.5,-,-,0.7,-,-,6.81
175,Coke Levante,35, D(CLR),M(R),16(1),1386,2.1,2,1.6,0.2,2.5,1.2,0.3,-,6.81
176,Neto Valencia,33, GK,,33,2970,-,-,-,-,0.6,-,-,-,6.81
177,Gabriel Mercado Sevilla,35, D(CR),,25(1),2124,2.2,1.6,1.4,0.7,3,1.2,0.8,-,6.8
178,Tomás Pina Deportivo Alaves,35, M(C),,28(2),2393,2.4,1.4,2.4,-,1.1,0.7,0.3,-,6.8
179,Alberto Redondo Getafe,25, Defender,,1,90,4,-,4,-,1,2,1,-,6.8
180,Kévin Rodrigues Real Sociedad,28, D(L),M(L),18(2),1633,2.2,1.4,1.2,0.2,1.7,0.8,0.3,1,6.8
181,Marc Muniesa Girona,30, D(CL),,14,1130,2.4,2.4,0.9,0.1,2.6,0.9,0.4,-,6.8
182,Gerard Deulofeu Barcelona,28, AM(CLR),FW,5(5),503,0.8,0.8,1.1,-,-,0.1,-,-,6.8
183,Pedro Alcalá Girona,33, D(C),,8,690,1.1,1.8,1.4,0.6,5.1,0.3,0.4,-,6.8
184,Ganso Sevilla,33, AM(C),FW,7(1),524,1.9,0.3,0.6,-,0.5,1.0,-,-,6.79
185,Sergio Asenjo Villarreal,33, GK,,23,2070,0.1,-,0.1,-,0.9,0.2,-,-,6.79
186,Sergi Darder Espanyol,28, M(CL),,32(3),2790,1.8,1.5,1,-,1.2,1.2,0.1,-,6.79
187,Sergi Las Palmas,27, DMC,,2,145,5,-,1,-,-,0.5,-,-,6.79
188,Iñaki Williams Athletic Bilbao,28, AM(CLR),FW,31(7),2851,0.7,0.4,0.8,-,0.3,0.9,0.1,-,6.79
189,Kepa Arrizabalaga Athletic Bilbao,28, GK,,30,2700,-,0.1,-,-,0.7,0.1,-,-,6.79
190,Pau López Espanyol,27, GK,,28(1),2566,-,-,-,-,0.6,-,-,-,6.79
191,Rúben Vezo Valencia,28, D(CR),,17(2),1554,2.3,1.2,1.2,0.6,3.9,0.8,0.5,-,6.79
192,Lionel Carole Sevilla,31, D(CL),M(L),6,540,2,1,0.7,0.2,4.0,0.3,0.5,-,6.79
193,Bruno González Getafe,32, D(C),,17(3),1538,1.3,1.6,1,1.2,5.3,0.7,0.2,-,6.79
194,Dani García Eibar,32, DMC,,32,2781,2.5,2.2,1.4,-,0.7,1.5,0.1,-,6.79
195,Paul Baysse Malaga,34, D(CR),,13(2),1238,1.7,1.3,1.3,1.7,5.4,0.5,0.4,-,6.79
196,Diego López Espanyol,41, GK,,10,854,-,-,0.1,-,0.4,0.1,-,-,6.78
197,Enis Bardhi Levante,27, M(CLR),,16(10),1581,1.5,0.6,1.5,-,0.2,1.1,-,-,6.78
198,Ángel Rodríguez Getafe,35, FW,,26(7),2299,0.8,0.2,1.5,-,0.4,0.7,0.1,-,6.78
199,Léo Baptistão Espanyol,30, AM(CLR),FW,31(5),2686,1.5,0.6,1.3,-,0.6,1.1,-,-,6.78
200,Joan Jordán Eibar,28, M(C),,25(10),2423,0.9,0.9,1.1,-,0.3,1.7,-,-,6.78
201,Markel Bergara Getafe,36, M(C),,18,1469,1.9,1.3,1.9,-,1.1,1.0,0.2,-,6.77
202,Alexander Szymanowski Leganes,34, AM(L),,13,1064,1.1,1.7,1.5,-,0.2,0.8,-,-,6.77
203,Mikel Balenziaga Athletic Bilbao,34, D(L),,18,1554,1.9,0.9,1.2,0.1,2.9,0.7,0.3,-,6.77
204,Markel Susaeta Athletic Bilbao,34, M(LR),,26(8),2270,1.2,0.5,0.6,-,0.3,1.4,-,-,6.77
205,Antonio Barragán Real Betis,35, D(CR),M(R),28(1),2377,2.0,0.8,1.8,0.3,1.8,0.4,0.2,-,6.77
206,Carlos Fernández Sevilla,26, AM(C),FW,2,139,1.0,-,2.0,-,-,1.0,-,-,6.77
207,Ibai Gómez Deportivo Alaves,32, AM(LR),,26(8),2327,0.6,0.4,0.5,-,0.6,0.7,-,-,6.77
208,Naldo Espanyol,34, D(C),,10(1),922,1.3,1.5,0.6,0.8,5.1,0.5,0.9,-,6.76
209,Loïc Rémy Las Palmas,35, M(LR),FW,6(6),761,0.3,0.1,0.7,-,0.2,0.1,-,-,6.76
210,Aarón Martín Espanyol,25, D(L),M(L),31(1),2815,1.8,1.5,0.9,0.3,1.8,0.9,0.2,-,6.76
211,Álvaro González Villarreal,32, D(C),,32(1),2899,1.2,1.6,1,0.8,5.6,0.6,0.7,-,6.76
212,Federico Ricca Malaga,27, D(CL),,13(1),1111,3.1,1.7,1.3,0.2,2.5,0.7,0.1,-,6.76
213,Fernando Pacheco Deportivo Alaves,30, GK,,37(1),3357,-,0.1,-,-,0.6,-,-,-,6.76
214,Antonio Sanabria Real Betis,26, FW,,8(9),847,0.5,0.2,0.7,0.1,0.4,0.2,-,-,6.75
215,Juanfran Atletico,37, D(R),,15(2),1308,1.9,1.5,1.9,0.1,1.4,0.6,0.2,-,6.75
216,Daniel Carriço Sevilla,34, D(C),DMC,5(1),459,1.2,1.7,0.8,0.7,3.5,0.5,0.5,-,6.75
217,Fabián Orellana Eibar,36, AM(CLR),,13(4),1182,0.8,0.4,0.9,-,0.2,1.1,0.1,-,6.75
218,Alejandro Gálvez Las Palmas,33, D(C),M(C),18,1620,2.8,2.4,1.9,1.2,4.1,1.1,0.6,-,6.74
219,Santi Mina Valencia,26, AM(LR),FW,17(15),1550,0.5,0.1,0.8,-,0.6,0.6,-,-,6.74
