,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
146,Zeki Çelik Lille,25, D(R),M(R),30(2),2698,2,3,0.7,0.7,0.6,0.5,0.1,0.3,1.0,6.73
147,Maxence Caqueret Lyon,22, DMC,,26(5),2335,-,-,0.5,0.8,1.2,0.9,-,0.8,1.6,6.73
148,Tiago Djaló Lille,22, D(CLR),,26(2),2330,1,1,0.4,0.2,0.5,0.8,-,0.3,1.0,6.73
149,Alexis Flips Reims,22, M(CR),,13(12),1062,2,4,0.8,1.2,0.5,0.5,-,0.6,1.3,6.73
150,Amine Harit Marseille,25, AM(CLR),FW,12(11),1168,4,4,0.7,1.1,1.1,1.7,0.1,1.4,2.1,6.73
151,Christophe Hérelle Brest,30, D(CR),,23,1938,-,-,0.3,0.1,0.1,1.0,-,0.1,0.3,6.73
152,Youssouf Fofana Monaco,23, DMC,,23(10),2187,-,4,0.9,0.6,1.2,0.8,-,1,1.2,6.72
153,Jean-Charles Castelletto Nantes,27, D(C),,28,2512,1,-,0.6,0.2,0.3,0.4,-,0.2,0.2,6.72
154,Wylan Cyprien Nantes,27, M(C),,17(7),1494,2,3,0.8,1.3,0.6,0.7,-,0.7,0.6,6.72
155,Thomas Mangani Angers,35, M(C),,25(8),2195,7,2,0.5,0.8,0.1,0.4,-,0.4,0.6,6.72
156,Fodé Doucouré Reims,21, Defender,,1(2),153,-,-,-,0.3,0.7,0.3,-,-,-,6.71
157,Dante Nice,38, D(C),,33(1),2874,-,-,0.4,0.2,0.2,0.4,-,-,0.4,6.71
158,Stephy Mavididi Montpellier,24, AM(LR),FW,27(3),2313,8,3,2,0.8,1.3,1.5,0.2,2,2.6,6.71
159,Nicolas Pallois Nantes,34, D(C),,29(1),2450,1,-,0.3,0.1,0.3,0.3,-,-,0.3,6.71
160,Thomas Monconduit Lorient,31, DMC,,26(8),2254,3,2,1.1,0.9,0.8,1.0,-,0.4,0.9,6.71
161,Gerzino Nyamsi Strasbourg,25, D(C),,33(1),2983,-,2,0.8,0.2,0.2,0.1,-,0.2,0.6,6.7
162,Jean-Ricner Bellegarde Strasbourg,24, M(CLR),,26(10),2337,2,3,0.9,0.6,1.1,1.9,-,0.9,1.7,6.7
163,José Fonte Lille,38, D(C),,38,3420,-,2,0.6,0.3,0.1,0.2,-,0.1,0.5,6.7
164,Axel Disasi Monaco,24, D(C),,30(2),2725,1,-,0.6,0.2,0.3,0.4,0.1,0.2,0.3,6.7
165,Habib Diallo Strasbourg,27, AM(R),FW,16(15),1537,11,1,1.6,0.5,0.5,0.6,0.5,0.8,2.2,6.7
166,Juan Bernat PSG,29, D(L),M(CL),12(3),965,-,-,0.1,0.3,0.9,0.6,0.1,0.3,0.5,6.69
167,Arnaud Kalimuendo-Muinga Lens,20, FW,,27(5),2165,12,-,1.9,0.7,0.8,1.0,0.4,1.9,2.5,6.69
168,Gianluigi Donnarumma PSG,23, GK,,17,1530,-,-,-,-,0.1,0.1,-,-,-,6.69
169,Josuha Guilavogui Bordeaux,31, D(C),M(C),15,1332,1,1,0.6,0.9,0.5,0.9,-,0.1,1.1,6.69
170,Jonathan Bamba Lille,26, AM(CLR),FW,28(3),2442,1,3,1.6,1.5,1.1,1.8,0.5,1.8,2.5,6.69
171,Kalifa Coulibaly Nantes,31, FW,,9(12),848,5,-,1.2,0.4,0.3,0.4,0.3,0.4,1.4,6.69
172,Pedro Chirivella Nantes,25, DMC,,31,2647,3,1,0.7,0.8,0.3,0.8,-,0.3,0.5,6.69
173,Jérémy Doku Rennes,20, AM(LR),,4(10),467,1,2,0.4,0.6,2.6,1.1,-,1.4,2,6.68
174,Julian Pollersbeck Lyon,28, GK,,4(2),435,-,-,-,-,-,0.2,-,-,-,6.68
175,Lucas Perrin Strasbourg,23, D(C),,29(2),2508,1,1,0.3,0.3,0.2,1.0,0.1,0.2,0.5,6.68
176,Pablo Rosario Nice,25, DMC,,31(5),2736,-,2,0.5,0.6,0.5,0.6,0.1,0.5,1,6.68
177,Malo Gusto Lyon,19, D(R),M(R),21(9),1884,-,4,0.4,0.8,0.6,0.7,0.1,0.5,1.3,6.68
178,Mamadou Sakho Montpellier,32, D(C),,29,2578,-,-,-,0.1,0.1,0.3,-,0.2,0.7,6.68
179,Lucien Agoumé Brest,20, DMC,,21(6),1869,-,-,0.6,0.5,0.8,0.5,-,0.6,0.7,6.67
180,Vital N'Simba Clermont Foot,29, D(L),,31(3),2791,1,3,0.6,0.9,1.3,1.4,-,1.2,1.4,6.67
181,Akim Zedadka Clermont Foot,27, D(R),,37(1),3338,-,3,0.8,1.2,0.8,2.3,0.1,1.4,1.8,6.67
182,Nuno Mendes PSG,20, D(L),M(L),18(9),1654,-,1,0.3,0.7,1.0,0.9,-,0.7,1.0,6.67
183,Jason Denayer Lyon,27, D(CR),DMC,12(3),1001,3,-,0.4,0.1,0.1,0.3,-,0.1,0.2,6.67
184,Vincent Pajot Metz,32, M(C),,27(3),2320,1,-,0.5,0.5,0.4,1.3,-,0.2,1.0,6.67
185,Rémy Cabella Montpellier,32, M(CLR),FW,3(2),313,-,-,0.4,1.6,1.4,0.6,-,1.8,0.6,6.67
186,Tanguy Ndombele Lyon,25, M(C),,7(4),703,-,2,0.5,0.8,1.5,1.7,-,1.1,1.8,6.67
187,Facundo Medina Lens,23, D(CL),,30(1),2597,1,-,0.3,0.2,0.5,0.4,-,0.4,0.8,6.67
188,Xeka Lille,27, M(C),,19(4),1622,3,-,1.0,0.6,0.2,0.7,-,0.7,1.3,6.66
189,Yacine Adli Bordeaux,22, M(C),,25(11),2265,1,7,0.9,1.6,1.3,0.8,0.1,1.3,1.6,6.66
190,Danylo Ignatenko Bordeaux,25, M(C),,7(4),689,-,3,1.1,1.2,0.8,0.6,-,0.2,0.5,6.66
191,Léo Jardim Lille,27, GK,,17,1530,-,-,-,-,-,0.2,-,-,-,6.66
192,Jean-Kévin Duverne Brest,25, D(CLR),,33(4),3007,1,3,0.3,0.7,0.5,0.8,0.1,0.6,1.2,6.66
193,Habib Maïga Metz,26, DMC,M(R),16(1),1274,2,-,0.6,0.6,0.8,0.6,-,1.2,1.1,6.65
194,Didier Lamkel Zé Metz,25, FW,,8(1),609,3,-,1.6,0.6,0.9,1.6,0.4,2.6,3.3,6.65
195,Khéphren Thuram-Ulien Nice,21, DMC,,20(16),1897,4,2,0.6,0.6,0.9,0.4,-,0.6,0.9,6.65
196,Elbasan Rashani Clermont Foot,29, AM(LR),,22(7),1769,8,3,1,0.5,0.7,1.0,0.2,1,1.8,6.65
197,Kevin Gameiro Strasbourg,35, FW,,28(7),2397,11,3,1.9,0.8,0.5,0.5,0.4,1.1,1.7,6.65
198,Haris Belkebla Brest,28, DMC,,26(5),2312,-,-,0.1,0.5,1,1.3,-,0.6,1.1,6.64
199,Alberth Elis Bordeaux,26, AM(LR),FW,16(4),1416,9,1,1.6,0.8,0.8,1.2,0.5,1.6,2.7,6.64
200,Johan Gastien Clermont Foot,34, DMC,,32,2752,-,1,0.8,0.8,0.4,1.0,-,0.6,0.8,6.64
201,Léo Dubois Lyon,27, D(LR),M(R),20(3),1747,-,-,0.4,0.7,0.5,0.6,-,0.5,0.9,6.63
202,Renaud Ripart Troyes,29, D(R),M(CLR),22(6),1902,2,2,1.5,0.6,0.8,1.5,0.2,1.3,1.9,6.63
203,Jason Berthomier Clermont Foot,32, AM(C),,22(7),1744,1,5,0.8,1.6,0.8,0.5,0.1,0.6,1.3,6.63
204,Dan Ndoye Nice,21, Forward,,2(1),204,-,1,1,0.7,2,0.7,0.3,1,3.3,6.63
205,Marco Bizot Brest,31, GK,,38,3420,-,1,-,0.1,-,0.1,-,-,-,6.63
206,El Bilal Touré Reims,20, FW,,15(6),1201,2,4,1.6,0.5,0.4,0.7,0.3,0.6,1.5,6.63
207,Jordan Ferri Montpellier,30, M(C),,33(1),2920,-,2,0.4,0.9,1,2.1,-,1.4,1.1,6.62
208,Damien da Silva Lyon,34, D(C),,13(4),1127,-,-,0.7,0.1,0.1,0.2,-,-,0.4,6.62
209,Matz Sels Strasbourg,30, GK,,37,3330,-,-,0.1,-,-,0.1,-,-,-,6.62
210,Mihailo Ristic Montpellier,26, D(L),M(L),19(10),1808,1,3,0.6,0.6,1.0,0.9,-,0.7,1,6.62
211,Loïc Badé Rennes,22, D(C),,11(3),984,-,1,0.5,0.1,0.3,0.1,-,0.1,0.3,6.62
212,Junior Mwanga Bordeaux,19, Defender,,1,90,-,-,-,-,1.0,-,-,-,-,6.62
213,Jonas Martin Rennes,32, M(CL),,24(5),2111,1,1,0.7,0.3,0.3,0.5,-,0.3,0.6,6.62
214,Mickael Nade Saint-Etienne,23, D(C),,29(1),2568,1,-,0.2,0.2,0.3,1,-,0.3,0.5,6.62
215,Bamba Dieng Marseille,22, AM(L),FW,11(14),976,7,1,1.5,0.4,0.2,0.5,0.2,0.5,1,6.61
216,Hicham Boudaoui Nice,22, M(CR),,21(8),1633,3,2,0.6,0.5,0.8,0.7,0.1,0.8,1.4,6.61
217,Lucas da Cunha Nice,21, AM(R),,5(5),392,-,1,1,1.3,0.9,0.5,-,0.5,1.5,6.61
218,Xavier Chavalerin Troyes,31, DMC,M(L),31(3),2724,5,2,0.9,0.7,0.4,0.4,0.2,0.4,1.1,6.61
219,Erik Palmer-Brown Troyes,25, D(C),,19(2),1739,-,-,0.2,0.1,0.2,0.5,-,0.2,0.4,6.61
220,Birger Meling Rennes,27, D(LR),DMC,20(11),1828,-,4,0.1,0.5,0.2,0.7,0.1,0.2,0.8,6.61
221,Souleyman Doumbia Angers,25, D(L),M(L),27,2231,-,1,0.5,0.6,1.7,0.9,-,0.9,2,6.61
