,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
290,Maximiliano Moralez Atalanta,35, M(CLR),FW,26(6),2321,1.3,0.3,1,-,0.2,0.6,-,-,6.73
291,Pedro Obiang Sampdoria,30, DMC,,24(3),2118,2.9,1.1,1.2,-,1.7,1.1,0.5,-,6.73
292,Mattia De Sciglio AC Milan,30, D(CLR),M(LR),15(1),1359,2,0.9,1.2,0.2,2.6,0.8,0.2,-,6.73
293,Mauro Icardi Inter,29, FW,,12(10),1309,0.3,-,0.6,-,0.1,-,-,-,6.73
294,Igor Bubnjic Udinese,30, D(C),,6(1),518,0.9,2.3,1,0.4,4.6,0.3,0.9,-,6.73
295,Davide Brivio Atalanta,34, D(L),M(L),22(1),1922,2,1,0.5,0.3,3.0,0.7,0.2,-,6.73
296,Toni Doblas Napoli,42, GK,,1(1),101,-,-,-,-,0.5,-,-,-,6.73
297,Diego Novaretti Lazio,37, D(C),,9(2),730,2.1,2.1,0.6,0.7,5.9,0.8,0.5,-,6.72
298,Iván Pillud Verona,36, D(R),,4(2),340,2.3,0.7,0.5,-,2.3,0.5,0.2,-,6.72
299,Matteo Bianchetti Verona,29, D(C),,1(2),210,1.3,2,0.3,-,3.3,0.7,1.3,-,6.72
300,Claiton Chievo,38, D(C),,5(3),492,1.3,2.4,1.1,0.9,4.1,0.5,0.8,-,6.72
301,Ângelo da Costa Sampdoria,38, GK,,33,2970,-,-,-,-,0.7,-,-,-,6.72
302,Giampiero Pinzi Udinese,41, M(C),,19(4),1676,2.4,1.5,1.7,-,0.6,1.4,0.2,-,6.72
303,Michele Pazienza Bologna,40, DMC,,17(5),1496,2.9,1.4,1.2,-,1.3,0.7,0.4,-,6.72
304,Mario Gomez Fiorentina,37, FW,,5(4),498,0.8,0.2,1.1,-,0.8,0.1,0.2,-,6.72
305,Alessandro Longhi Sassuolo,33, D(L),M(L),27(1),2439,1.6,1.5,1,0.8,4.2,0.8,0.2,1,6.72
306,Goran Pandev Napoli,39, M(CR),FW,17(12),1387,0.4,0.2,0.8,-,0.1,0.3,-,-,6.71
307,Michelangelo Albertazzi Verona,31, D(L),,14(1),1212,2.3,1.5,1.5,0.1,2.5,0.9,0.3,-,6.71
308,Luca Marrone Sassuolo,32, D(C),DMC,14(1),1144,1.8,1.5,1.3,-,1.4,0.5,0.3,-,6.71
309,Cristiano Del Grosso Atalanta,39, D(L),M(L),18(1),1491,1.2,1.1,0.8,0.1,3.7,0.8,0.1,-,6.71
310,Victor Obinna Chievo,35, FW,,4(6),398,0.6,0.3,0.3,-,-,0.5,0.1,-,6.71
311,Fabián Monzón Catania,35, D(L),M(L),16(6),1398,1.1,1.5,0.6,0.1,1.7,0.5,0.1,-,6.71
312,Juan Vargas Fiorentina,39, D(L),M(CL),14(10),1450,0.8,0.8,0.8,0.1,1.2,0.3,-,-,6.71
313,Rafael Marques Verona,39, D(C),,14(3),1269,1.4,1.4,0.4,0.3,5.2,0.4,0.7,-,6.71
314,Albin Ekdal Cagliari,33, M(C),,20(2),1669,2.4,1.3,1.7,-,1.3,1.6,0.1,-,6.71
315,Afriyie Acquah Parma Calcio 1913,30, M(C),,18(9),1777,1.7,0.7,2.1,-,0.8,0.8,0.1,-,6.71
316,Josip Ilicic Fiorentina,34, AM(CLR),FW,13(8),1108,0.5,0.3,0.4,-,0.2,0.1,-,-,6.71
317,Tin Jedvaj Roma,26, D(CLR),,1(1),97,3.0,1.0,0.5,-,5,1.0,-,-,6.71
318,Valter Birsa AC Milan,36, M(CLR),FW,10(5),756,1.1,0.1,0.7,-,0.2,0.4,0.1,-,6.7
319,Bosko Jankovic Verona,38, M(LR),,14(4),1122,0.8,1.1,0.9,-,1.4,0.3,-,-,6.7
