time : 1.03 Pitch : 0.15 Roll : -1.58 Yaw : 22.55 dYaw : 0.16 Latitude : 0 Longitude : 0 GPS Time : 0:0:14 accel(x, y, z) :  (-0.00, -0.05, 0.95)  gyro(x, y, z) :  (1.46, 1.71, 0.79)  mag(x, y, z) :  (22.23, -20.30, 23.00)  Speed (m/s): 0.00
time : 1.05 Pitch : 1.02 Roll : -1.66 Yaw : 21.80 dYaw : 0.74 Latitude : 0 Longitude : 0 GPS Time : 0:0:14 accel(x, y, z) :  (-0.03, -0.05, 0.93)  gyro(x, y, z) :  (-0.67, -1.04, 1.40)  mag(x, y, z) :  (22.06, -19.75, 21.59)  Speed (m/s): 0.00
time : 1.07 Pitch : -1.41 Roll : -0.17 Yaw : 23.34 dYaw : 1.54 Latitude : 0 Longitude : 0 GPS Time : 0:0:15 accel(x, y, z) :  (0.04, -0.01, 0.99)  gyro(x, y, z) :  (4.52, 3.91, 0.12)  mag(x, y, z) :  (22.75, -19.81, 19.13)  Speed (m/s): 0.00
time : 1.10 Pitch : 1.24 Roll : -1.59 Yaw : 20.61 dYaw : 2.74 Latitude : 0 Longitude : 0 GPS Time : 0:0:15 accel(x, y, z) :  (-0.04, -0.05, 0.96)  gyro(x, y, z) :  (3.66, -0.73, 6.59)  mag(x, y, z) :  (23.12, -19.17, 20.70)  Speed (m/s): 0.00
time : 1.12 Pitch : -2.12 Roll : -1.51 Yaw : 18.44 dYaw : 2.17 Latitude : 0 Longitude : 0 GPS Time : 0:0:15 accel(x, y, z) :  (0.07, -0.05, 1.00)  gyro(x, y, z) :  (7.75, -2.81, 39.31)  mag(x, y, z) :  (24.34, -15.95, 21.68)  Speed (m/s): 0.00
time : 1.15 Pitch : -2.01 Roll : -1.51 Yaw : 5.33 dYaw : 13.11 Latitude : 0 Longitude : 0 GPS Time : 0:0:16 accel(x, y, z) :  (0.06, -0.05, 0.98)  gyro(x, y, z) :  (3.05, -1.28, 37.84)  mag(x, y, z) :  (22.12, -4.53, 21.62)  Speed (m/s): 0.00
time : 1.17 Pitch : -0.65 Roll : -1.66 Yaw : 1.41 dYaw : 3.92 Latitude : 0 Longitude : 0 GPS Time : 0:0:16 accel(x, y, z) :  (0.02, -0.05, 0.95)  gyro(x, y, z) :  (11.60, -8.85, 18.55)  mag(x, y, z) :  (20.94, -2.00, 20.85)  Speed (m/s): 0.00
time : 1.20 Pitch : -1.81 Roll : -2.20 Yaw : 0.03 dYaw : 1.38 Latitude : 0 Longitude : 0 GPS Time : 0:0:16 accel(x, y, z) :  (0.06, -0.07, 1.05)  gyro(x, y, z) :  (-1.28, 4.09, -7.20)  mag(x, y, z) :  (19.63, -1.54, 21.96)  Speed (m/s): 0.00
time : 1.22 Pitch : 0.18 Roll : -4.10 Yaw : 2.89 dYaw : 2.86 Latitude : 0 Longitude : 0 GPS Time : 0:0:17 accel(x, y, z) :  (-0.01, -0.13, 0.98)  gyro(x, y, z) :  (4.33, -2.56, -6.53)  mag(x, y, z) :  (19.32, -4.48, 20.81)  Speed (m/s): 0.00
time : 1.25 Pitch : -0.24 Roll : -3.64 Yaw : 3.06 dYaw : 0.16 Latitude : 0 Longitude : 0 GPS Time : 0:0:17 accel(x, y, z) :  (0.01, -0.12, 1.05)  gyro(x, y, z) :  (4.58, -0.79, 14.22)  mag(x, y, z) :  (19.34, -4.30, 21.24)  Speed (m/s): 0.00
time : 1.28 Pitch : -1.69 Roll : -4.44 Yaw : -2.49 dYaw : 5.54 Latitude : 0 Longitude : 0 GPS Time : 0:0:17 accel(x, y, z) :  (0.05, -0.13, 0.95)  gyro(x, y, z) :  (-2.81, -9.58, 13.98)  mag(x, y, z) :  (17.04, -1.68, 20.94)  Speed (m/s): 0.00
time : 1.30 Pitch : -1.10 Roll : -3.23 Yaw : -2.97 dYaw : 0.49 Latitude : 0 Longitude : 0 GPS Time : 0:0:18 accel(x, y, z) :  (0.03, -0.10, 0.99)  gyro(x, y, z) :  (0.43, 1.22, -2.62)  mag(x, y, z) :  (17.04, -0.61, 21.07)  Speed (m/s): 0.00
time : 1.33 Pitch : 0.00 Roll : -3.92 Yaw : -4.15 dYaw : 1.17 Latitude : 0 Longitude : 0 GPS Time : 0:0:18 accel(x, y, z) :  (-0.00, -0.12, 0.97)  gyro(x, y, z) :  (1.40, 1.46, -3.42)  mag(x, y, z) :  (16.78, -0.31, 20.40)  Speed (m/s): 0.00
time : 1.35 Pitch : 0.12 Roll : -3.20 Yaw : -6.77 dYaw : 2.62 Latitude : 0 Longitude : 0 GPS Time : 0:0:18 accel(x, y, z) :  (-0.00, -0.09, 0.92)  gyro(x, y, z) :  (2.01, -4.94, 16.30)  mag(x, y, z) :  (15.58, 1.17, 22.11)  Speed (m/s): 0.00
time : 1.37 Pitch : -0.90 Roll : -2.12 Yaw : -8.28 dYaw : 1.51 Latitude : 0 Longitude : 0 GPS Time : 0:0:19 accel(x, y, z) :  (0.03, -0.07, 1.02)  gyro(x, y, z) :  (-0.31, 2.20, 7.63)  mag(x, y, z) :  (14.44, 2.31, 20.81)  Speed (m/s): 0.00
time : 1.40 Pitch : -2.40 Roll : -3.69 Yaw : -17.10 dYaw : 8.82 Latitude : 0 Longitude : 0 GPS Time : 0:0:19 accel(x, y, z) :  (0.08, -0.12, 1.02)  gyro(x, y, z) :  (3.36, 6.71, 10.19)  mag(x, y, z) :  (12.24, 4.14, 19.85)  Speed (m/s): 0.00
time : 1.42 Pitch : 1.41 Roll : -3.24 Yaw : -12.81 dYaw : 4.28 Latitude : 0 Longitude : 0 GPS Time : 0:0:19 accel(x, y, z) :  (-0.04, -0.10, 0.93)  gyro(x, y, z) :  (-0.61, 3.85, -6.96)  mag(x, y, z) :  (12.28, 3.56, 20.19)  Speed (m/s): 0.00
time : 1.45 Pitch : 1.86 Roll : -2.67 Yaw : -18.15 dYaw : 5.34 Latitude : 0 Longitude : 0 GPS Time : 0:0:20 accel(x, y, z) :  (-0.05, -0.08, 0.89)  gyro(x, y, z) :  (0.12, -2.99, 15.56)  mag(x, y, z) :  (9.86, 5.43, 19.07)  Speed (m/s): 0.00
time : 1.47 Pitch : 0.01 Roll : -3.02 Yaw : -26.90 dYaw : 8.75 Latitude : 0 Longitude : 0 GPS Time : 0:0:20 accel(x, y, z) :  (-0.00, -0.09, 0.95)  gyro(x, y, z) :  (-1.10, -7.14, -0.12)  mag(x, y, z) :  (7.84, 7.08, 18.93)  Speed (m/s): 0.00
time : 1.50 Pitch : -0.06 Roll : -0.71 Yaw : -23.97 dYaw : 2.94 Latitude : 0 Longitude : 0 GPS Time : 0:0:20 accel(x, y, z) :  (0.00, -0.02, 0.99)  gyro(x, y, z) :  (7.39, -0.18, 2.81)  mag(x, y, z) :  (8.28, 7.29, 19.62)  Speed (m/s): 0.00
time : 1.53 Pitch : -2.39 Roll : -1.05 Yaw : -29.16 dYaw : 5.19 Latitude : 0 Longitude : 0 GPS Time : 0:0:21 accel(x, y, z) :  (0.08, -0.03, 1.01)  gyro(x, y, z) :  (-1.04, 5.55, 2.08)  mag(x, y, z) :  (7.78, 7.48, 20.29)  Speed (m/s): 0.00
time : 1.55 Pitch : -0.40 Roll : -0.38 Yaw : -28.49 dYaw : 0.67 Latitude : 0 Longitude : 0 GPS Time : 0:0:21 accel(x, y, z) :  (0.01, -0.01, 0.96)  gyro(x, y, z) :  (-7.32, -1.40, 18.49)  mag(x, y, z) :  (6.32, 7.37, 18.66)  Speed (m/s): 0.00
time : 1.58 Pitch : -0.57 Roll : -4.03 Yaw : -40.90 dYaw : 12.41 Latitude : 0 Longitude : 0 GPS Time : 0:0:21 accel(x, y, z) :  (0.02, -0.13, 0.99)  gyro(x, y, z) :  (15.08, 4.88, 17.15)  mag(x, y, z) :  (3.55, 8.69, 18.84)  Speed (m/s): 0.00
time : 1.60 Pitch : 1.69 Roll : -4.63 Yaw : -45.88 dYaw : 4.99 Latitude : 0 Longitude : 0 GPS Time : 0:0:22 accel(x, y, z) :  (-0.05, -0.13, 0.89)  gyro(x, y, z) :  (2.32, 1.89, 6.77)  mag(x, y, z) :  (0.42, 8.15, 20.83)  Speed (m/s): 0.00
time : 1.62 Pitch : 1.87 Roll : -4.17 Yaw : -48.50 dYaw : 2.62 Latitude : 0 Longitude : 0 GPS Time : 0:0:22 accel(x, y, z) :  (-0.06, -0.13, 0.98)  gyro(x, y, z) :  (-3.97, -12.70, 8.48)  mag(x, y, z) :  (-0.56, 8.92, 20.07)  Speed (m/s): 0.00
time : 1.65 Pitch : -1.20 Roll : 0.79 Yaw : -61.24 dYaw : 12.74 Latitude : 0 Longitude : 0 GPS Time : 0:0:22 accel(x, y, z) :  (0.04, 0.02, 0.93)  gyro(x, y, z) :  (-1.10, -5.25, 12.15)  mag(x, y, z) :  (-3.05, 10.85, 19.96)  Speed (m/s): 0.00
time : 1.67 Pitch : 1.30 Roll : 0.53 Yaw : -69.31 dYaw : 8.07 Latitude : 0 Longitude : 0 GPS Time : 0:0:23 accel(x, y, z) :  (-0.04, 0.02, 0.95)  gyro(x, y, z) :  (15.38, -7.51, 13.24)  mag(x, y, z) :  (-7.81, 10.35, 21.15)  Speed (m/s): 0.00
time : 1.70 Pitch : -0.74 Roll : -3.57 Yaw : -72.72 dYaw : 3.41 Latitude : 0 Longitude : 0 GPS Time : 0:0:23 accel(x, y, z) :  (0.02, -0.10, 0.93)  gyro(x, y, z) :  (15.93, -0.18, 0.92)  mag(x, y, z) :  (-8.90, 8.46, 21.69)  Speed (m/s): 0.00
