,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
204,Jonathan Rivierez Metz,33, D(LR),,24(2),2067,-,0.3,28.2,76.4,0.4,2.0,-,6.75
205,Valentin Rongier Nantes,27, D(R),M(C),29(3),2361,2,0.9,41.6,87.2,0.1,1.9,-,6.75
206,Marcus Thuram Guingamp,25, AM(L),FW,20(12),1926,1,0.7,15.3,70.3,-,0.2,0.1,6.74
207,Thiago Mendes Lille,30, D(CR),M(CR),27(4),2300,4,1.4,42.5,86.3,0.3,2.2,-,6.74
208,Valentin Rosier Dijon,26, D(LR),M(LR),31(5),2781,3,0.4,30.9,79.0,0.3,1.3,0.1,6.74
209,Valentin Eysseric Nice,30, AM(CLR),FW,1,90,-,2,66.0,83.3,3,3.0,-,6.74
210,François Kamano Bordeaux,26, M(CLR),FW,23(12),2022,4,0.8,17.7,83.1,0.3,0.4,-,6.74
211,Jonas Martin Strasbourg,32, M(CL),,36,3042,2,1.2,46.8,85.4,0.4,2.1,0.1,6.74
212,Emiliano Sala Nantes,32, FW,,34(2),3035,4,1.0,23.0,62.3,0.1,0.3,0.1,6.74
213,Félix Eboa Eboa Guingamp,25, D(CR),,16(7),1519,-,0.2,28.2,79.5,-,2.2,-,6.73
214,Jordan Ikoko Guingamp,28, D(LR),,26(2),2419,2,0.7,35.9,81.5,0.5,2.1,0.1,6.73
215,Rolando Marseille,37, D(C),,28(3),2512,-,0.1,43.6,89.5,-,3.7,-,6.73
216,Jérémy Toulalan Bordeaux,39, D(C),M(C),21,1890,-,0.1,49.7,85.0,-,4.1,-,6.73
217,Pedro Rebocho Guingamp,27, D(L),,19(2),1723,2,0.9,36.6,81.3,0.5,2.0,-,6.73
218,Younousse Sankharé Bordeaux,33, M(C),,20(9),1882,1,0.7,30.3,85.0,0.1,0.8,0.1,6.73
219,Lucas Deaux Guingamp,33, D(C),DMC,24(2),1952,1,0.5,45.2,81.8,0.1,3.0,-,6.73
220,Kevin N'Doram Monaco,26, DMC,,7(4),720,-,0.2,39.5,87.8,-,2.6,-,6.73
221,Rémy Cabella Marseille,32, M(CLR),FW,0(3),62,-,-,12.0,80.6,-,0.3,-,6.72
222,Karim Azamoum Troyes,32, M(CR),,26(4),2257,-,0.7,29.5,72.7,0.3,1.1,-,6.72
