,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
122,Gary Cahill England,36, D(C),,1,90,-,-,-,-,-,-,-,-,-,7.02
123,Lamine Gassama Senegal,32, D(R),,1,90,-,-,-,-,2,3,-,1,1,7.02
124,Yun Young-Sun South Korea,33, Substitute,,1,90,-,-,-,-,-,-,-,-,2,7.02
125,Sergio Busquets Spain,34, DMC,,4,391,-,1,1,0.8,0.8,3,-,0.8,1,7.02
126,Kyle Walker England,32, D(CR),M(R),5,495,-,-,-,0.2,1,1,-,0.4,0.4,7.01
127,Lee Yong South Korea,35, D(R),,3,270,-,-,0.3,0.7,0.7,1.7,-,0.3,-,7.01
128,Thomas Delaney Denmark,31, DMC,,4,368,-,1,1,0.5,0.5,0.8,-,0.3,-,7.0
129,Ramin Rezaeian Iran,32, Defender,,3,270,-,-,0.3,0.7,0.7,1,-,-,0.7,6.99
130,Fagner Brazil,33, D(R),,4,360,-,-,-,0.8,0.5,0.8,-,0.8,-,6.99
131,Mile Jedinak Australia,38, D(C),DMC,3,270,2,-,2,-,0.7,0.7,-,0.7,0.7,6.99
132,James Rodríguez Colombia,31, AM(CLR),FW,2(1),152,-,2,1,1,2,0.7,0.3,1,0.7,6.98
133,Nicolás Otamendi Argentina,34, D(C),,4,360,-,-,1,-,-,1.3,-,0.3,0.5,6.98
134,Paolo Guerrero Peru,38, FW,,2(1),208,1,1,2.3,0.7,-,0.7,1,1.7,3,6.98
135,Salman Al Faraj Saudi Arabia,33, Midfielder,,3,270,1,-,1,3.7,1.3,1.0,0.3,1,1.3,6.98
136,Dedryck Boyata Belgium,31, D(C),,3,270,-,-,-,-,-,0.7,-,-,0.3,6.97
137,Mohamed Salah Egypt,30, AM(CLR),FW,2,180,2,-,3,2,1.5,0.5,1.5,3.5,2.5,6.97
138,Lucas Hernández France,26, D(CL),,7,590,-,2,0.7,0.6,0.9,2.1,-,1.1,0.6,6.97
139,Óscar Murillo Colombia,34, Defender,,1,90,-,-,1,-,-,1.0,-,-,1,6.97
140,Ola Toivonen Sweden,36, AM(C),FW,5,400,1,1,0.8,1,0.4,2.4,0.2,1.4,0.8,6.97
141,Guillermo Varela Uruguay,29, D(LR),,2,180,-,-,-,1,0.5,1.0,-,0.5,2.5,6.97
142,Nacer Chadli Belgium,33, M(CLR),FW,4(2),328,1,1,0.5,1.3,1.2,0.2,0.2,0.5,1.5,6.96
143,Albin Ekdal Sweden,33, M(C),,5,421,-,-,0.6,0.2,1.8,1.6,-,1,1,6.96
144,Keisuke Honda Japan,36, M(CR),,0(3),47,1,1,1.3,0.3,0.7,0.7,-,0.3,-,6.96
145,Willian Brazil,34, AM(CLR),,5,362,-,1,1,1,2.2,2.0,-,2.6,1.4,6.96
146,João Moutinho Portugal,36, M(C),,2(1),185,-,1,-,1.3,0.3,1.3,-,-,0.3,6.96
147,David Ospina Colombia,34, GK,,4,391,-,-,-,-,-,0.5,-,-,-,6.96
148,Davinson Sánchez Colombia,26, D(C),,4,391,-,-,0.5,0.3,-,0.5,-,-,1,6.95
149,Nikola Milenkovic Serbia,24, D(CR),,3,270,-,-,-,-,-,0.3,-,-,-,6.94
150,Yussuf Poulsen Denmark,28, AM(R),FW,3,269,1,-,0.7,0.3,2.3,0.7,0.3,2.7,3.3,6.94
151,Andrés Iniesta Spain,38, M(CL),,3(1),285,-,1,1.3,1.8,1.8,1,-,0.5,1.3,6.94
152,Jesús Gallardo Mexico,28, Midfielder,,4,335,-,-,0.3,0.5,0.8,-,-,0.3,0.8,6.94
153,Julian Draxler Germany,28, AM(CLR),FW,2,136,-,-,3.0,2,2.5,0.5,-,0.5,1,6.94
154,Jan Bednarek Poland,26, D(C),,2(1),225,1,-,0.3,-,0.3,1,-,-,-,6.94
155,José Fonte Portugal,38, D(C),,4,360,-,-,0.8,0.3,-,1,-,0.3,-,6.93
156,Axel Witsel Belgium,33, D(C),M(C),6,540,-,-,1.0,0.2,1,1.5,-,0.3,0.8,6.93
157,Abdullah Otayf Saudi Arabia,30, midfielder,,3,244,-,1,0.7,0.7,0.7,2.7,-,0.3,1,6.93
158,Emil Forsberg Sweden,30, AM(CLR),FW,5,417,1,-,2.8,0.6,1.4,2,-,1.8,1.8,6.93
159,Jesse Lingard England,29, AM(CLR),FW,5(1),529,1,1,2.8,1,1.3,0.8,0.2,1.2,2.2,6.93
160,Mesut Özil Germany,33, M(CLR),,2,180,-,-,1,5.5,2,1.0,-,3,1.5,6.93
161,Toby Alderweireld Belgium,33, D(CR),,6,540,-,1,0.8,0.2,-,0.2,-,-,0.2,6.93
162,Marcus Berg Sweden,36, FW,,5,428,-,-,3,0.4,0.4,2.2,1,0.6,1.6,6.93
163,Nabil Dirar Morocco,36, D(LR),M(CR),2,180,-,-,0.5,0.5,1.5,0.5,-,1,1.5,6.93
164,Alfred Finnbogason Iceland,33, FW,,3,264,1,-,1.7,1.3,1,0.7,0.3,2,2.0,6.92
165,Genki Haraguchi Japan,31, M(CLR),,3,246,1,-,1,0.7,0.3,1.3,-,1.3,2.0,6.92
166,Khalid Boutaïb Morocco,35, FW,,2,141,1,-,1.5,0.5,1,1.0,0.5,1,2.5,6.92
167,Gabriel Jesus Brazil,25, AM(LR),FW,5,407,-,1,1.8,0.8,1.2,0.6,0.6,1.4,1.6,6.92
168,Ahmed Hegazy Egypt,31, D(C),,3,270,-,-,-,-,0.3,0.3,-,0.7,0.7,6.92
169,Jonas Hector Germany,32, D(L),M(CL),2,165,-,-,1,-,0.5,1.5,0.5,-,1.5,6.92
170,Carlos Sánchez Uruguay,37, M(CR),,1(2),123,-,2,0.7,2,-,1.3,-,0.7,0.3,6.9
171,Pedro Aquino Peru,27, Midfielder,,1(2),138,-,-,0.3,0.3,-,0.7,-,0.3,0.3,6.9
172,Eduardo Salvio Argentina,32, M(CR),,2,146,-,-,0.5,1.5,1,2.5,-,-,1,6.9
173,Pontus Jansson Sweden,31, D(C),,1(1),95,-,-,0.5,0.5,-,-,-,-,-,6.9
174,Ruben Loftus-Cheek England,26, M(CLR),,3(1),274,-,1,0.8,1,3,1.5,-,1.8,1.5,6.89
175,Stephan Lichtsteiner Switzerland,38, D(R),M(R),3,267,-,-,0.7,0.3,0.7,1.3,-,1,1.3,6.88
176,Héctor Herrera Mexico,32, M(C),,4,360,-,-,1.3,0.5,2,1.5,0.3,1.5,2.5,6.88
177,Jan Vertonghen Belgium,35, D(CL),,6,540,1,-,0.3,-,0.2,0.5,-,0.5,0.8,6.88
178,Joshua Kimmich Germany,27, D(CR),DMC,3,270,-,-,1,3.7,0.3,4,-,0.3,0.3,6.87
179,Vladimir Stojkovic Serbia,39, GK,,3,270,-,-,-,-,-,-,-,-,-,6.87
180,Rodrigo Bentancur Uruguay,25, M(C),,5,365,-,1,0.6,0.4,1.2,1.4,-,1.4,1.6,6.87
181,Lucas Torreira Uruguay,26, DMC,,3(2),304,-,-,0.4,0.6,0.2,1.2,-,1.4,1,6.86
182,Gabriel Mercado Argentina,35, D(CR),,3,270,1,1,0.3,0.3,0.3,1.7,-,-,0.7,6.86
183,Moussa Wagué Senegal,23, D(R),,2(1),196,1,-,0.3,1.3,1,0.3,-,0.3,1.7,6.86
184,Nemanja Matic Serbia,34, DMC,,3,270,-,-,1.0,0.3,1.3,1.7,-,1.7,1.7,6.86
185,Gaku Shibasaki Japan,30, M(C),FW,4,341,-,1,0.3,1.8,0.5,0.5,-,0.5,0.8,6.86
186,Radamel Falcao Colombia,36, FW,,4,378,1,-,2.0,0.3,1.3,2.3,1,3.5,5.5,6.86
187,Yuri Gazinskiy Russia,33, DMC,,3(1),267,1,-,0.5,0.3,0.3,0.8,-,-,0.8,6.86
188,Badou Ndiaye Senegal,31, M(C),,1,81,-,-,1.0,1.0,1,-,-,-,-,6.86
189,Fakhreddine Ben Youssef Tunisia,31, Forward,,3,270,1,-,2.3,1.3,-,2,-,0.3,1.3,6.86
190,John Obi Mikel Nigeria,35, M(C),,3,268,-,-,-,1,1.3,0.3,-,1,1,6.86
191,Giorgian de Arrascaeta Uruguay,28, AM(CLR),FW,1(1),86,-,-,0.5,2,1,1.0,-,1.5,2.5,6.86
192,Leon Balogun Nigeria,34, D(CR),,3,270,-,-,1.3,-,0.3,0.3,-,0.3,0.7,6.85
193,Sardar Azmoun Iran,27, AM(C),FW,3,270,-,-,1.3,0.7,0.7,1.0,-,1.7,2.7,6.85
194,Sadio Mané Senegal,30, AM(CLR),FW,3,270,1,-,1,2,1.7,2.0,1.3,2.3,3.7,6.85
195,Yuri Zhirkov Russia,39, D(L),M(CL),3,222,-,-,0.7,-,0.3,0.3,-,-,-,6.85
196,Santiago Arias Colombia,30, D(R),,4,386,-,-,0.3,0.3,-,1.3,0.3,-,0.8,6.85
197,Masoud Shojaei Iran,38, M(CL),FW,1,68,-,-,-,-,3,1.0,-,2,1,6.85
198,Manuel Akanji Switzerland,27, D(CR),,4,360,-,-,0.3,-,0.5,1.5,-,0.3,0.3,6.85
199,Kim Young-Gwon South Korea,32, D(C),,3,270,1,-,0.3,-,0.3,0.7,-,-,0.3,6.84
200,Granit Xhaka Switzerland,29, D(L),M(C),4,360,1,-,1,0.8,0.8,1,-,0.8,1.3,6.84
201,Miguel Trauco Peru,30, D(L),M(L),3,270,-,-,-,0.7,0.7,0.3,-,1.3,1.3,6.84
202,Robin Olsen Sweden,32, GK,,5,450,-,-,-,-,-,0.2,-,-,-,6.84
203,Gen Shoji Japan,29, D(C),,3,270,-,-,0.3,-,0.3,0.7,-,0.3,0.3,6.83
204,Dusko Tosic Serbia,37, D(CL),,2,180,-,-,0.5,0.5,-,2,-,-,0.5,6.83
205,Keita Baldé Senegal,27, AM(LR),FW,1,80,-,-,1,-,2,3,-,-,3,6.83
206,Anderson Santamaría Peru,30, Defender,,1(1),135,-,-,-,-,-,-,-,-,-,6.82
207,Maya Yoshida Japan,34, D(CR),,4,360,-,-,0.5,0.3,-,0.5,-,-,0.3,6.82
208,Sergio Ramos Spain,36, D(CR),,4,391,-,-,1.3,0.8,-,1,-,-,-,6.82
209,Alan Dzagoev Russia,32, M(CLR),FW,1(1),42,-,1,0.5,1.5,0.5,0.5,-,0.5,-,6.82
210,Aleksandar Kolarov Serbia,36, D(CL),M(L),3,270,1,-,0.7,0.7,-,1.7,-,-,1,6.82
211,Jacek Góralski Poland,29, DMC,,2,180,-,-,0.5,-,-,1.5,-,1,-,6.82
212,Matías Vecino Uruguay,31, M(C),,5,416,-,-,0.8,0.2,0.4,0.6,-,0.4,0.8,6.82
213,Marcos Rojo Argentina,32, D(CL),,3,226,1,-,1,0.3,0.3,1.0,-,-,0.3,6.82
214,Ricardo Quaresma Portugal,38, AM(CLR),,1(2),116,1,-,1.7,0.7,1.7,0.7,-,1.3,1.7,6.82
215,Ludwig Augustinsson Sweden,28, D(L),M(L),5,450,1,-,0.6,0.8,0.2,0.4,-,0.6,0.4,6.81
216,Chicharito Mexico,34, FW,,4,330,1,1,1.8,1.5,1,1.8,0.5,1,1.3,6.81
217,Rami Bedoui Tunisia,32, Substitute,,1,90,-,-,-,-,1,1.0,-,1,-,6.81
218,Youri Tielemans Belgium,25, M(C),,2(2),175,-,2,1,1.3,0.8,0.8,-,0.3,-,6.81
219,Olivier Giroud France,35, FW,,6(1),546,-,1,1.9,1,0.4,0.6,-,1.1,3.1,6.81
220,Keylor Navas Costa Rica,35, GK,,3,270,-,-,-,-,-,0.7,-,-,-,6.81
221,Hugo Ayala Mexico,35, D(C),,2,180,-,-,-,-,-,-,-,-,0.5,6.81
222,Ashley Young England,37, D(LR),M(LR),5,463,-,1,0.4,1,0.4,0.6,-,1.4,0.4,6.8
223,Roozbeh Cheshmi Iran,29, Defender,,1,90,-,-,1,-,-,-,-,1,1,6.8
224,Pione Sisto Denmark,27, AM(CLR),FW,3(1),232,-,-,1,0.3,2.8,1.5,-,1,1.8,6.8
225,David Silva Spain,36, M(CLR),FW,4,327,-,-,2.5,1.5,1.3,-,0.3,0.8,0.3,6.8
226,Milad Mohammadi Iran,28, D(LR),M(L),0(2),55,-,-,-,-,1,0.5,-,0.5,1.5,6.8
227,Saeid Ezatolahi Iran,25, DMC,,2,166,-,-,0.5,-,1.5,2,0.5,0.5,-,6.8
228,Salif Sané Senegal,32, D(C),DMC,3,270,-,-,1.7,-,0.3,-,-,-,1.7,6.79
229,Fabian Schär Switzerland,30, D(C),,3,270,-,-,0.3,-,-,1.3,-,0.3,1,6.79
230,Wílmar Barrios Colombia,28, D(C),DMC,2(1),270,-,-,-,0.3,-,1,-,1.3,1,6.79
231,Dylan Bronn Tunisia,27, D(C),,2,114,1,-,0.5,0.5,-,0.5,-,-,0.5,6.79
232,Steven Zuber Switzerland,31, D(L),M(CLR),3,253,1,-,1.3,2.0,0.7,-,0.3,0.3,1.7,6.78
233,Trent Sainsbury Australia,30, D(C),,3,270,-,-,0.3,0.7,0.3,1,-,0.3,0.3,6.78
234,Dries Mertens Belgium,35, AM(CLR),FW,3(3),300,1,1,1.2,1.7,0.3,0.7,0.3,0.7,1,6.78
235,Samuel Umtiti France,28, D(CL),,6,540,1,-,0.3,0.2,0.3,1.5,-,0.2,0.3,6.78
236,Simon Kjaer Denmark,33, D(C),,4,390,-,-,-,0.5,-,0.3,-,-,-,6.78
