,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
147,Dani Olmo RBL,24, AM(CLR),FW,7(12),740,3,0.6,18.1,78.4,0.2,0.5,0.1,6.71
148,Mark Flekken Freiburg,29, GK,,32,2880,-,-,38.0,66.1,-,9.6,-,6.71
149,Manuel Akanji Borussia Dortmund,27, D(CR),,25(1),2263,-,0.1,76.9,90.6,-,5.7,-,6.71
150,Xaver Schlager Wolfsburg,24, M(C),,13(1),1047,1,0.4,29.6,76.6,0.1,1.1,0.1,6.71
151,Paulinho Leverkusen,22, AM(CLR),,14(10),1219,2,0.9,20.0,82.0,0.3,0.2,-,6.71
152,Louis Jordan Beyer Borussia M.Gladbach,22, D(CR),,14(2),1294,-,0.3,56.8,88.2,0.1,1.4,-,6.71
153,Timo Baumgartl Union Berlin,26, D(C),,25,2169,2,0.3,47.4,79.3,0.2,3.3,-,6.71
154,Philipp Klement Stuttgart,29, M(C),,3(3),338,-,1.3,41.2,83.4,0.7,3.2,0.3,6.7
155,Koen Casteels Wolfsburg,30, GK,,28,2520,-,-,33.6,75.4,-,8.5,-,6.7
156,Marvin Friedrich Union Berlin,26, D(C),,13,1170,-,0.4,47.8,74.0,0.2,3.2,-,6.7
157,Suat Serdar Hertha Berlin,25, M(CLR),,27(3),2230,-,0.8,19.1,71.4,-,1.2,0.1,6.7
158,Jeffrey Gouweleeuw Augsburg,31, D(C),,29,2578,-,0.3,40.9,72.3,-,4.4,-,6.7
159,Ihlas Bebou Hoffenheim,28, M(CLR),FW,25(3),2106,2,0.7,18.5,70.3,0.5,0.3,-,6.69
160,Lukas Klostermann RBL,26, D(CLR),M(R),17(6),1648,1,0.2,45.4,86.2,-,2,-,6.69
161,Piero Hincapié Leverkusen,20, D(CL),,20(7),1752,2,0.4,39.7,81.5,0.1,1.5,0.1,6.69
162,Benjamin Henrichs RBL,25, D(LR),DMC,12(10),1138,3,0.6,27.2,79.8,0.2,0.5,0.1,6.69
163,Niko Gießelmann Union Berlin,30, D(CL),M(L),25(3),2093,6,1,27.1,73.2,1.1,1.4,-,6.69
164,Diadié Samassékou Hoffenheim,26, DMC,,21(3),1665,-,0.4,29.6,80.3,-,1.4,-,6.68
165,Waldemar Anton Stuttgart,26, D(CR),DMC,29,2597,1,0.2,61.4,84.8,-,4,-,6.68
166,Rani Khedira Union Berlin,28, D(C),DMC,32,2765,1,0.3,28.6,73.8,0.2,1.2,-,6.68
