,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
255,Kieran Gibbs West Brom,33, D(L),M(L),32(1),2831,1,0.7,30.7,75.0,0.6,1.2,-,6.69
256,Scott Dann Crystal Palace,35, D(C),,16(1),1435,-,0.3,33.3,79.9,-,2.8,-,6.69
257,Rob Holding Arsenal,27, D(CR),,9(3),820,-,0.2,50.3,84.6,-,2.5,-,6.69
258,Andy Carroll West Ham,33, FW,,7(9),748,-,0.4,15.5,61.3,0.2,0.6,-,6.69
259,Aaron Cresswell West Ham,32, D(CL),M(L),35(1),3073,7,0.9,36.1,77.1,1,2.7,-,6.69
260,Ederson Man City,29, GK,,37,3197,-,-,25.1,85.3,-,4.0,-,6.68
261,Toby Alderweireld Tottenham,33, D(CR),,13(1),1177,-,0.2,65.4,85.8,0.1,7.9,0.1,6.68
262,Sofiane Boufal Southampton,29, AM(CLR),FW,11(15),1215,2,0.8,20.5,78.6,0.3,0.5,0.1,6.68
263,Leroy Fer Swansea,32, M(CL),,15(5),1399,1,0.5,31.6,81.0,0.1,2.2,0.1,6.67
264,Geoff Cameron Stoke,37, D(CLR),DMC,17(3),1526,-,0.3,25.3,72.3,-,1.4,-,6.67
265,Jan Bednarek Southampton,26, D(C),,5,428,-,-,36.2,75.1,-,1.6,-,6.67
266,Per Mertesacker Arsenal,38, D(C),,4(2),365,-,-,41.2,91.5,-,1.2,-,6.67
267,Michael Carrick Man Utd,41, D(C),M(C),1(1),109,-,0.5,49.5,84.8,-,6.0,0.5,6.67
268,Boaz Myhill West Brom,39, GK,,1,90,-,-,19.0,52.6,-,8.0,-,6.66
269,Tom Cleverley Watford,33, M(CLR),,22(1),1905,2,1.3,49.4,82.3,0.8,2.5,-,6.66
270,Pedro Chelsea,35, M(CLR),FW,17(14),1524,2,0.8,21.1,83.0,0.3,0.9,-,6.66
271,Victor Lindelöf Man Utd,28, D(CR),,13(4),1284,-,0.1,44.2,90.8,-,1.8,-,6.66
272,Ryan Bertrand Southampton,33, D(CL),M(L),35,3137,4,1,42.3,78.9,0.7,1.1,-,6.66
273,Jeffrey Schlupp Crystal Palace,29, D(L),M(CLR),21(3),1748,1,0.5,27.3,74.2,0.1,1.1,-,6.66
274,Karl Darlow Newcastle,32, GK,,10,900,-,-,29.7,46.1,-,8.2,-,6.66
275,Ainsley Maitland-Niles Arsenal,25, D(LR),M(CLR),8(7),909,-,0.5,35.7,85.3,0.3,1.5,-,6.65
276,Marcos Rojo Man Utd,32, D(CL),,8(1),642,-,0.2,39.8,81.6,-,2.1,-,6.65
277,Konstantinos Stafylidis Stoke,28, D(LR),DMC,4(1),335,-,0.4,18.8,77.7,-,0.8,-,6.65
