,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating
87,Mohamed Bayo ,24, FW,,27(5),2426,14,5,2.1,1,0.9,6.83,0
91,Cengiz ?nder ,25, AM(CLR),,25(7),2209,10,2,1.8,1.1,0.8,6.82,0
97,Angelo Fulgini ,26, AM(CLR),FW,35(1),2947,5,4,1.6,1.4,1.4,6.81,0
98,Nicolas de Pr?ville ,31, AM(CLR),FW,24(3),1982,5,2,1.5,1,1.7,6.8,0
102,Justin Kluivert ,23, AM(LR),,25(3),1883,4,5,1.1,1.3,1.5,6.79,0
105,Ryad Boudebouz ,32, M(CLR),FW,27(3),2267,3,4,0.9,1.8,1.8,6.79,0
107,Kevin Volland ,30, AM(CLR),FW,29(5),2450,9,9,1.5,1,0.5,6.79,0
134,Wahbi Khazri ,31, M(CLR),FW,26(4),2239,10,0,2.4,1,1.1,6.74,0
135,Enzo Le F?e ,22, AM(CLR),,25(11),2202,2,3,0.9,1.4,1.2,6.74,0
142,Armand Laurient? ,23, AM(LR),FW,28(7),2493,6,2,2.4,1.2,1.3,6.73,0
145,Jonathan David ,22, AM(C),FW,32(6),2811,15,0,1.8,0.9,0.7,6.73,0
150,Amine Harit ,25, AM(CLR),FW,12(11),1168,4,4,0.7,1.1,1.1,6.73,0
158,Stephy Mavididi ,24, AM(LR),FW,27(3),2313,8,3,2,0.8,1.3,6.71,0
165,Habib Diallo Strasbourg,27, AM(R),FW,16(15),1537,11,1,1.6,0.5,0.5,6.7,0
167,Arnaud Kalimuendo-Muinga ,20, FW,,27(5),2165,12,0,1.9,0.7,0.8,6.69,0
170,Jonathan Bamba ,26, AM(CLR),FW,28(3),2442,1,3,1.6,1.5,1.1,6.69,0
171,Kalifa Coulibaly ,31, FW,,9(12),848,5,0,1.2,0.4,0.3,6.69,0
173,J?r?my Doku ,20, AM(LR),,4(10),467,1,2,0.4,0.6,2.6,6.68,0
196,Elbasan Rashani ,29, AM(LR),,22(7),1769,8,3,1,0.5,0.7,6.65,0
197,Kevin Gameiro Strasbourg,35, FW,,28(7),2397,11,3,1.9,0.8,0.5,6.65,0
199,Alberth Elis ,26, AM(LR),FW,16(4),1416,9,1,1.6,0.8,0.8,6.64,0
203,Jason Berthomier ,32, AM(C),,22(7),1744,1,5,0.8,1.6,0.8,6.63,0
206,El Bilal Tour? ,20, FW,,15(6),1201,2,4,1.6,0.5,0.4,6.63,0
215,Bamba Dieng ,22, AM(L),FW,11(14),976,7,1,1.5,0.4,0.2,6.61,0
228,Lucas da Cunha ,21, AM(R),,11(4),844,2,0,1.2,0.9,1.3,6.6,0
230,Florent Mollet ,30, AM(CLR),,32(3),2649,6,2,1.6,0.9,0.4,6.6,0
241,Ibrahima Kon? ,23, FW,,6(10),728,5,1,0.9,0.9,0.6,6.59,0
245,Arkadiusz Milik ,28, AM(C),FW,15(8),1419,7,2,2.3,0.7,0.1,6.58,0
252,Javair? Dilrosun ,24, AM(CLR),,19(13),1738,2,6,1.3,1,1.4,6.57,0
253,Terem Moffi ,23, AM(R),FW,34(3),2736,8,4,1.6,0.9,0.9,6.57,0
254,Kasper Dolberg ,24, FW,,20(7),1503,6,2,1.5,0.6,0.4,6.57,0
261,Ilan Kebbal ,24, AM(C),FW,21(10),1785,1,4,0.9,1.1,0.9,6.56,0
263,Jonathan Ikon? ,24, AM(CLR),FW,13(5),1077,1,0,1.2,0.9,1.4,6.55,0
264,Romain Del Castillo ,26, AM(LR),FW,13(6),985,0,6,0.6,0.8,1.1,6.55,0
270,Hwang Ui-Jo ,30, AM(CLR),FW,29(3),2526,11,2,1.7,0.4,0.3,6.54,0
272,Pape Sarr ,19, AM(C),,22(11),2130,1,3,0.9,0.6,0.9,6.54,0
275,Farid Boulaya ,29, AM(CLR),FW,18(6),1534,4,2,0.8,1.3,0.8,6.54,0
276,Remi Oudin ,25, M(CLR),FW,20(13),1744,4,5,1.7,0.6,0.6,6.53,0
278,David da Costa ,21, AM(C),,16(17),1463,3,5,0.8,1.2,0.7,6.53,0
279,Mart?n Satriano ,21, FW,,11(4),941,4,0,1.6,0.1,0.6,6.53,0
284,Konrad De la Fuente ,21, AM(L),,9(7),788,0,2,0.9,0.6,1.3,6.52,0
291,Ik? Ugbo ,23, FW,,11(3),820,5,0,1.1,0.4,0.2,6.51,0
292,Val?re Germain ,32, AM(LR),FW,22(12),1978,4,3,0.9,0.6,0.1,6.51,0
293,Ga?l Kakuta ,31, M(CLR),FW,20(9),1685,3,2,1.4,0.7,0.9,6.51,0
301,Timothy Weah ,22, AM(LR),FW,17(12),1620,3,4,1.2,0.9,0.7,6.5,0
309,Julian Draxler ,28, AM(CLR),FW,5(13),542,2,1,0.5,0.5,0.6,6.49,0
2,Domenico Berardi ,28, AM(R),FW,33,2838,15,14,3.3,2.5,0.9,7.43,0
3,Rafael Le?o ,23, AM(L),FW,31(3),2621,11,8,2.9,1.3,2.9,7.37,0
4,Sergej Milinkovic-Savic ,27, AM(C),,36(1),3111,11,11,2,1.4,1.2,7.36,0
6,Dusan Vlahovic ,22, FW,,21,1862,17,2,3.6,1,1,7.33,0
7,Ciro Immobile ,32, FW,,31,2718,27,2,3.8,0.9,0.6,7.31,0
8,Luis Muriel ,31, AM(CL),FW,17(10),1543,9,8,2.1,2.2,2.3,7.3,0
9,Hakan ?alhanoglu ,28, M(CLR),FW,33(1),2509,7,12,1.9,2.6,0.4,7.28,0
11,Victor Osimhen ,23, FW,,23(4),1993,14,2,3.4,0.6,1.1,7.22,0
12,Ivan Perisic ,33, M(CLR),FW,35,2844,8,7,1.3,1.6,0.7,7.22,0
13,Paulo Dybala ,28, AM(CR),FW,26(3),2074,10,5,3.4,1.3,1.6,7.22,0
15,Gianluca Caprari ,29, AM(CLR),FW,33(2),2755,12,7,1.9,1.8,1.9,7.2,0
17,Lautaro Mart?nez ,25, FW,,28(7),2302,21,3,3.4,0.8,0.6,7.18,0
18,Tammy Abraham ,24, FW,,36(1),3099,17,4,2.6,1,1,7.17,0
21,Nicol? Barella ,25, AM(C),,36,2933,3,12,1.9,1.8,1,7.13,0
23,Lorenzo Insigne ,31, AM(CL),FW,28(4),2311,11,9,2.9,2,1.3,7.09,0
26,Edin Dzeko ,36, FW,,27(9),2476,13,5,2.4,1.1,0.5,7.07,0
27,Duv?n Zapata ,31, FW,,20(4),1732,10,4,3.4,1.6,1.2,7.06,0
30,Gerard Deulofeu ,28, AM(CLR),FW,31(3),2628,13,5,2.3,2.4,1.5,7.04,0
32,Felipe Anderson ,29, M(CLR),FW,33(5),2900,6,8,1.2,1.3,1.5,7.02,0
33,Nicol?s Gonz?lez ,24, M(CLR),FW,26(7),2361,7,6,2.2,1.1,1.7,7.02,0
34,Mattia Zaccagni ,27, AM(CL),FW,21(8),1881,4,5,1.1,0.9,1.6,7.01,0
35,Abdelhamid Sabiri ,25, AM(CL),FW,9(5),895,3,2,1.1,0.9,1.2,7,0
37,Henrikh Mkhitaryan ,33, M(CLR),FW,29(2),2505,5,6,1.8,1.3,1.1,6.99,0
38,Olivier Giroud ,35, FW,,22(7),1905,11,3,2.2,0.9,0.1,6.99,0
41,Milan Djuric ,32, FW,,23(10),2173,5,3,1.5,1,0.2,6.97,0
42,Luis Alberto ,29, AM(CL),FW,27(7),2363,5,10,1.4,1.9,0.8,6.96,0
44,Federico Chiesa ,24, M(CLR),FW,11(3),868,2,2,2,1.2,1.5,6.94,0
52,Antonin Barak ,27, AM(C),,27(2),2348,11,4,1.8,1,1.1,6.91,0
53,Ruslan Malinovskyi ,29, M(CR),FW,19(11),1603,6,4,1.9,1.5,1.6,6.91,0
55,Simone Verdi ,30, AM(CLR),FW,11(4),838,5,0,2.4,1.3,1.8,6.9,0
57,Pedro ,35, M(CLR),FW,25(7),2043,9,5,1.1,0.9,1,6.89,0
58,Hamed Traor? ,22, AM(CLR),,21(10),1780,7,2,1.6,1.2,2,6.89,0
59,Giovanni Simeone ,27, AM(R),FW,32(3),2669,17,5,2,0.7,0.7,6.89,0
67,Junior Messias ,31, AM(CR),FW,14(12),1430,5,2,1.7,0.8,1.2,6.86,0
69,Dries Mertens ,35, AM(CLR),FW,16(14),1389,11,1,1.5,1.1,0.6,6.86,0
70,Marko Arnautovic ,33, AM(CLR),FW,32(1),2706,14,1,2.8,1.3,1.1,6.85,0
71,Hirving Lozano ,27, AM(LR),FW,20(10),1622,5,5,1.7,0.9,1,6.85,0
73,Dusan Vlahovic ,22, FW,,12(3),1078,7,1,2.9,0.6,0.7,6.85,0
74,Beto ,24, FW,,24(4),2175,11,0,2.3,0.7,1.4,6.84,0
77,Josip Ilicic ,34, AM(CLR),FW,8(12),837,3,4,1.6,1.7,1.4,6.84,0
78,?lvaro Morata ,29, AM(L),FW,26(9),2312,9,7,1.7,1.3,0.7,6.83,0
82,Zlatan Ibrahimovic ,40, FW,,11(12),1009,8,3,2.2,1,0.2,6.82,0
83,Gianluca Scamacca ,23, FW,,25(11),2155,16,0,2.2,0.7,0.6,6.82,0
108,Jo?o Pedro ,30, AM(CLR),FW,37,3325,13,4,2.5,0.8,0.9,6.77,0
109,Josip Brekalo ,24, AM(CLR),FW,26(6),2297,7,2,1.4,1.9,1.3,6.77,0
118,Musa Barrow ,23, AM(CL),FW,25(9),2147,6,6,2.1,1.3,0.9,6.75,0
120,Giacomo Raspadori ,22, AM(CL),FW,32(4),2757,10,5,2,1.2,1,6.75,0
125,Andrea Pinamonti ,23, FW,,32(4),2871,13,2,2.5,0.8,0.5,6.74,0
140,Filip Djuricic ,30, AM(CLR),FW,9(3),678,2,1,1.4,0.9,1.5,6.72,0
146,Andrea Belotti ,28, FW,,16(6),1378,8,1,2.6,0.5,0.7,6.71,0
147,Manolo Gabbiadini ,30, AM(CLR),FW,15(3),1147,6,2,2.4,0.9,0.2,6.71,0
151,Daniele Verde Spezia,26, AM(CLR),,21(12),1959,8,6,1.6,1.2,0.5,6.7,0
152,Joaqu?n Correa ,28, AM(CL),FW,12(14),1024,6,1,1.3,0.7,0.7,6.7,0
159,Tommaso Pobega ,23, AM(C),,24(9),2240,4,3,1.5,0.8,0.4,6.69,0
160,Nedim Bajrami ,23, AM(C),,23(12),2063,6,5,1.5,1.5,1.2,6.68,0
163,Mattia Aramu ,27, AM(CR),,25(7),2112,7,5,1.8,1.1,0.5,6.68,0
169,Francesco Caputo ,35, FW,,31(5),2799,11,4,1.5,1.1,0.4,6.68,0
172,Nicol? Zaniolo ,23, AM(CR),FW,23(5),1985,2,2,2.5,1,2,6.67,0
175,Riccardo Orsolini ,25, M(CR),FW,21(8),1794,6,3,1.8,0.7,0.9,6.67,0
188,Antonio Sanabria ,26, FW,,22(7),1814,6,2,1.7,0.6,0.4,6.65,0
199,Brahim D?az ,23, AM(CLR),,25(6),1872,3,3,1,1,1.5,6.62,0
200,Alexis S?nchez ,33, M(CLR),FW,7(20),863,5,2,1.2,0.7,0.8,6.62,0
203,Matteo Pessina ,25, AM(CR),,18(9),1444,1,1,1,0.9,0.9,6.62,0
205,J?r?mie Boga ,25, AM(CLR),FW,8(4),672,0,2,1.3,0.6,2.3,6.61,0
209,Roberto Soriano ,31, AM(CLR),,32(3),2639,0,4,0.7,1.4,0.6,6.61,0
217,Aleksey Miranchuk ,26, M(CR),FW,7(12),769,2,5,0.7,1.2,0.8,6.59,0
224,Kevin Agudelo Spezia,23, AM(CR),FW,12(11),1236,3,1,0.9,0.4,1.2,6.58,0
233,Federico Bernardeschi ,28, M(CLR),FW,16(12),1480,1,2,1.2,0.6,1.1,6.57,0
235,J?r?mie Boga ,25, AM(CLR),FW,7(8),765,0,0,1.4,1.3,2.1,6.57,0
236,Dennis Praet ,28, AM(CR),,17(6),1544,2,2,1,1.1,0.5,6.57,0
237,Thomas Henry ,27, FW,,23(10),2122,9,3,1.5,0.6,0.4,6.57,0
240,Riccardo Saponara ,30, AM(CL),,13(16),1287,3,3,1.3,0.7,0.7,6.57,0
241,Grigoris Kastanos ,24, AM(CR),,16(11),1346,1,1,1,1,0.8,6.57,0
243,Matteo Politano ,29, AM(CLR),FW,20(13),1659,3,4,1.3,1,0.6,6.56,0
244,Jean-Victor Makengo ,24, AM(CL),,26(7),2360,1,3,1,0.8,1.2,6.56,0
249,Stephan El Shaarawy ,29, AM(CLR),FW,8(19),1047,3,0,1.4,1.1,0.7,6.56,0
258,Isaac Success ,26, AM(LR),FW,11(11),911,2,7,1.1,0.7,0.9,6.55,0
265,Emmanuel Gyasi Spezia,28, M(LR),FW,35(1),3045,6,0,1.1,0.6,0.9,6.54,0
267,Manolo Portanova ,22, AM(CL),,17(7),1333,1,0,1.2,0.4,1,6.53,0
270,Arthur Cabral ,24, FW,,8(6),750,2,2,1.6,0.5,0.6,6.53,0
273,Mattia Destro ,31, FW,,21(6),1754,9,1,2,0.4,0.4,6.53,0
274,Roberto Pereyra ,31, M(CLR),FW,22(2),1799,3,5,1.3,1,0.9,6.53,0
299,Sofian Kiyine ,24, AM(CL),,14(12),1239,1,0,0.8,0.7,2.1,6.49,0
300,David Okereke ,24, AM(CR),FW,24(8),2064,7,0,1.3,0.4,0.8,6.49,0
303,Marko Pjaca ,27, AM(CL),FW,13(11),1146,3,0,0.9,0.6,1,6.48,0
306,Leonardo Pavoletti ,33, FW,,14(19),1508,5,1,1.1,0.5,0.2,6.48,0
309,Ignacio Pussetto ,26, AM(CLR),FW,11(17),1202,4,4,1.1,0.5,0.9,6.48,0
315,Ante Rebic ,28, AM(CLR),FW,6(18),876,2,2,1.3,1.2,0.7,6.47,0
317,Riccardo Sottil ,23, AM(LR),,14(10),1245,3,2,0.9,0.6,1.1,6.47,0
318,Federico Bonazzoli ,25, AM(C),FW,19(13),1867,10,0,1.8,0.3,0.5,6.47,0
322,Rey Manaj Spezia,25, FW,,19(11),1768,5,0,1.8,0.4,0.7,6.47,0
333,Federico Di Francesco ,28, M(LR),FW,17(9),1378,5,0,1,0.5,0.5,6.45,0
339,Dejan Kulusevski ,22, AM(CR),FW,5(15),762,1,3,0.9,0.5,0.9,6.43,0
