,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
100,Héctor Herrera Mexico,32, M(C),,4,346,1,2.8,49.3,82.2,1,2.8,0.3,7.24
101,Yohan Cabaye France,36, M(C),,4,318,-,1,52.3,87.6,0.5,3.8,0.3,7.24
102,Jackson Martínez Colombia,36, FW,,2(1),194,-,0.7,17.3,71.2,-,0.3,-,7.23
103,Aïssa Mandi Algeria,31, D(CLR),,3,300,-,0.7,26.3,74.7,0.3,1,0.3,7.23
104,Manuel Neuer Germany,36, GK,,7,690,-,-,33.0,75.8,-,8.9,-,7.23
105,Raïs M'Bolhi Algeria,36, GK,,4,390,-,0.5,30.3,37.2,-,8,-,7.23
106,Luis Suárez Uruguay,35, AM(CLR),FW,2,178,-,1.5,26.0,59.6,-,-,0.5,7.23
107,Christian Noboa Ecuador,37, M(C),,3,269,-,1,38.0,71.9,-,5.3,0.3,7.22
108,Son Heung-Min South Korea,30, M(CLR),FW,3,248,-,1,22.7,76.5,1,0.3,-,7.22
109,Morgan Schneiderlin France,33, DMC,,1,90,-,2,70.0,92.9,-,4,-,7.22
110,Benedikt Höwedes Germany,34, D(CLR),,7,690,-,0.1,40.0,83.9,-,0.1,-,7.22
111,Mario Yepes Colombia,46, D(C),,4,360,-,-,24.0,84.4,-,1.0,-,7.22
112,Nani Portugal,35, M(CLR),FW,3,270,-,1.7,42.0,77.0,1,0.3,-,7.22
113,Luka Modric Croatia,37, M(C),,3,270,-,1.7,52.7,87.3,0.7,6.7,-,7.22
114,Cristiano Ronaldo Portugal,37, M(L),FW,3,270,1,1,31.3,78.7,0.3,1.7,-,7.21
115,Gary Cahill England,36, D(C),,3,270,-,0.7,52.3,88.5,-,2.7,-,7.21
116,Jérôme Boateng Germany,34, D(CR),,7,647,-,0.3,55.9,82.9,0.4,4.4,-,7.21
117,Carlos Valdés Colombia,37, D(C),,1,90,-,-,19.0,73.7,-,3.0,-,7.21
118,Yaya Touré Ivory Coast,39, M(C),,3,270,-,3.3,51.3,86.4,1,3.7,-,7.21
119,Walter Ayoví Ecuador,43, D(L),,3,270,2,1,35.7,81.3,1.3,2.7,0.3,7.2
