,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
228,Daniel Sturridge England,33, M(R),FW,3,260,-,0.3,0.7,-,-,-,-,-,6.85
229,Teófilo Gutiérrez Colombia,37, FW,,4,305,0.8,0.3,1.8,-,0.3,0.5,0.3,-,6.85
230,Wilfried Bony Ivory Coast,33, FW,,2(1),168,0.3,-,2,-,1.3,0.7,-,-,6.84
231,Oribe Peralta Mexico,38, Forward,,4,303,0.3,0.5,1.5,-,1.8,1,-,-,6.84
232,Andranik Teymourian Iran,39, Midfielder,,3,270,5.3,2.3,4,-,3.7,3.3,-,-,6.83
233,Denis Glushakov Russia,35, M(C),,3,208,3.7,2,1.7,-,1,1.3,-,-,6.83
234,Renato Ibarra Ecuador,31, AM(R),,0(1),27,-,-,2,-,-,-,-,-,6.83
235,Stephan Lichtsteiner Switzerland,38, D(R),M(R),4,390,1.8,1,1.3,0.5,3.8,0.5,0.8,-,6.83
236,Hugo Lloris France,35, GK,,5,450,-,-,-,-,0.4,-,-,-,6.83
237,Fernando Gago Argentina,36, M(C),,3(3),374,1.8,0.7,0.8,-,1,2,-,-,6.82
238,Kostas Manolas Greece,31, D(C),,4,391,2.3,1,1.5,0.3,6,0.5,0.8,-,6.82
239,Maynor Figueroa Honduras,39, D(CL),M(L),3,270,2,2.7,2.7,0.3,7.3,0.3,0.7,-,6.81
240,Danijel Pranjic Croatia,40, D(L),M(C),2,165,1,0.5,0.5,-,1.5,0.5,-,-,6.81
241,Mauricio Isla Chile,34, D(R),M(CR),4,391,2,1.8,1,-,2.0,0.3,0.8,-,6.81
242,Ivica Olic Croatia,43, AM(LR),FW,3,229,2.7,0.3,1.7,-,1.3,2.7,-,-,6.81
243,José Vázquez Mexico,34, Midfielder,,3,270,2,1.7,2,-,1.0,1,0.3,-,6.81
244,Sol Bamba Ivory Coast,37, D(C),DMC,3,270,0.3,2,1,1.3,7.7,0.3,0.7,-,6.81
