,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Luis Suárez Liverpool,35, AM(CLR),FW,33,2965,1.1,0.3,1.6,-,0.3,0.5,0.1,-,8.43
1,James Wilson Man Utd,26, AM(CR),FW,1,64,-,-,1,-,-,-,-,-,8.04
2,Chris David Fulham,29, Midfielder,,0(1),67,3,1,1,-,-,1,-,-,8.02
3,Lukasz Fabianski Arsenal,37, GK,,1,90,-,-,-,-,-,-,-,-,7.9
4,Anders Lindegaard Man Utd,38, GK,,1,90,-,-,-,-,-,-,-,-,7.82
5,Steven Gerrard Liverpool,42, M(C),,33(1),2900,2.9,1.4,1,-,2.6,0.6,0.4,-,7.77
6,Aaron Ramsey Arsenal,31, M(CLR),,20(3),1764,3.3,1,1.2,-,0.6,1.6,0.1,-,7.76
7,Marouane Fellaini Everton,34, M(C),,3,270,4.3,0.7,2.7,-,5.3,2,-,-,7.75
8,Sergio Agüero Man City,34, AM(CL),FW,20(3),1539,0.6,0.3,0.7,-,-,0.3,-,-,7.71
9,Eden Hazard Chelsea,31, M(CLR),FW,32(3),2898,0.7,0.5,0.5,-,0.4,0.7,-,-,7.68
10,Nemanja Matic Chelsea,34, DMC,,15(2),1364,3.3,1.8,1.6,-,3.6,1.4,0.3,-,7.63
11,Wayne Rooney Man Utd,37, M(CLR),FW,27(2),2448,1.0,1.0,1.1,0.1,1.1,0.9,0.2,-,7.62
12,David Silva Man City,36, M(CLR),FW,26(1),2174,1.2,0.6,0.9,-,0.3,1.1,-,-,7.57
13,Yaya Touré Man City,39, M(C),,35,2927,1.5,0.7,1.1,-,1.0,1.2,0.1,-,7.55
14,Mile Jedinak Crystal Palace,38, D(C),DMC,38,3389,3.5,3.7,1.6,0.1,3.7,1.1,0.4,-,7.55
15,Yohan Cabaye Newcastle,36, M(C),,17(2),1509,2.4,2.4,1.3,-,0.8,1.2,-,-,7.48
16,Martin Skrtel Liverpool,37, D(C),,36,3222,1.4,1.7,0.8,0.4,11.4,0.4,1.1,4,7.46
17,Daniel Sturridge Liverpool,33, M(R),FW,26(3),2277,0.3,0.1,0.3,-,0.1,0.2,-,-,7.45
18,Mathieu Debuchy Newcastle,37, D(CR),M(R),28(1),2494,3.3,2.4,1.4,0.1,4.8,0.8,0.4,1,7.44
19,Philippe Coutinho Liverpool,30, M(CLR),,28(5),2338,2.2,0.5,0.5,-,0.3,1.7,-,-,7.44
20,Joe Lewis Cardiff,35, GK,,1,90,-,-,-,-,4.0,-,-,-,7.41
