number,name,position,age,nation,team,value
180,Isma?l Bennacer,Defensive Midfield,24,Algeria,AC Milan,¢æ33.00m
181,Pedro Neto,Left Winger,22,Portugal,Wolverhampton Wanderers,¢æ32.00m
182,Lisandro Mart?nez,Centre-Back,24,Argentina,Manchester United,¢æ32.00m
183,Edouard Mendy,Goalkeeper,30,Senegal,Chelsea FC,¢æ32.00m
184,Harvey Barnes,Left Midfield,24,England,Leicester City,¢æ32.00m
185,Marc Gu?hi,Centre-Back,22,England,Crystal Palace,¢æ32.00m
186,Evan Ndicka,Centre-Back,23,France,Eintracht Frankfurt,¢æ32.00m
187,Emiliano Buend?a,Right Winger,25,Argentina,Aston Villa,¢æ32.00m
188,Scott McTominay,Defensive Midfield,25,Scotland,Manchester United,¢æ32.00m
189,Kieran Tierney,Left-Back,25,Scotland,Arsenal FC,¢æ32.00m
190,Allan Saint-Maximin,Left Winger,25,France,Newcastle United,¢æ32.00m
191,Andr? Silva,Centre-Forward,26,Portugal,RB Leipzig,¢æ32.00m
192,John McGinn,Central Midfield,27,Scotland,Aston Villa,¢æ32.00m
193,James Ward-Prowse,Central Midfield,27,England,Southampton FC,¢æ32.00m
194,Roberto Firmino,Centre-Forward,30,Brazil,Liverpool FC,¢æ32.00m
195,Matheus Cunha,Centre-Forward,23,Brazil,Atl?tico de Madrid,¢æ30.00m
196,William Saliba,Centre-Back,21,France,Arsenal FC,¢æ30.00m
197,Vitinha,Central Midfield,22,Portugal,Paris Saint-Germain,¢æ30.00m
198,Renan Lodi,Left-Back,24,Brazil,Atl?tico de Madrid,¢æ30.00m
199,Beno?t Badiashile,Centre-Back,21,France,AS Monaco,¢æ30.00m
200,Tanguy Ndomb?l?,Central Midfield,25,France,SSC Napoli,¢æ30.00m
201,Charles De Ketelaere,Attacking Midfield,21,Belgium,AC Milan,¢æ30.00m
202,Cody Gakpo,Left Winger,23,Netherlands,PSV Eindhoven,¢æ30.00m
203,Pedro Gon?alves,Left Winger,24,Portugal,Sporting CP,¢æ30.00m
204,Mart?n Zubimendi,Defensive Midfield,23,Spain,Real Sociedad,¢æ30.00m
205,Sven Botman,Centre-Back,22,Netherlands,Newcastle United,¢æ30.00m
206,Andr? Zambo Anguissa,Defensive Midfield,26,Cameroon,SSC Napoli,¢æ30.00m
207,Benjamin Pavard,Right-Back,26,France,Bayern Munich,¢æ30.00m
208,Robin Le Normand,Centre-Back,25,France,Real Sociedad,¢æ30.00m
209,Alexander Isak,Centre-Forward,22,Sweden,Real Sociedad,¢æ30.00m
210,Hirving Lozano,Right Winger,27,Mexico,SSC Napoli,¢æ30.00m
211,Gianluca Scamacca,Centre-Forward,23,Italy,West Ham United,¢æ30.00m
212,Ousmane Demb?l?,Right Winger,25,France,FC Barcelona,¢æ30.00m
213,Manuel Akanji,Centre-Back,27,Switzerland,Borussia Dortmund,¢æ30.00m
214,Angeli?o,Left-Back,25,Spain,TSG 1899 Hoffenheim,¢æ30.00m
215,Tyrone Mings,Centre-Back,29,England,Aston Villa,¢æ30.00m
216,Ot?vio,Right Midfield,27,Portugal,FC Porto,¢æ30.00m
217,Marc-Andr? ter Stegen,Goalkeeper,30,Germany,FC Barcelona,¢æ30.00m
218,Karim Benzema,Centre-Forward,34,France,Real Madrid,¢æ30.00m
219,Cristiano Ronaldo,Centre-Forward,37,Portugal,Manchester United,¢æ30.00m
220,Hugo Ekitik?,Centre-Forward,20,France,Paris Saint-Germain,¢æ28.00m
