,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
264,Rade Krunic AC Milan,28, M(CL),,15(13),1414,1.2,0.6,0.8,-,0.5,0.6,0.1,-,6.54
265,Emmanuel Gyasi Spezia,28, M(LR),FW,35(1),3045,1.3,0.4,1.3,-,1.1,0.6,0.1,1,6.54
266,Ciprian Tatarusanu AC Milan,36, GK,,6,540,-,-,-,-,0.5,0.2,-,-,6.54
267,Manolo Portanova Genoa,22, AM(CL),,17(7),1333,1.9,0.7,1.9,-,0.8,0.8,0.1,-,6.53
268,Matteo Lovato Cagliari,22, D(C),,14(2),1243,1.4,1.8,1,0.8,2.6,0.8,0.6,-,6.53
269,Niki Mäenpää Venezia,37, GK,,16(1),1485,-,-,0.1,-,1.2,-,-,-,6.53
270,Arthur Cabral Fiorentina,24, FW,,8(6),750,0.6,0.1,1.1,-,0.6,0.2,0.1,-,6.53
271,Gian Marco Ferrari Sassuolo,30, D(C),,35(1),3127,0.4,1.2,0.7,0.9,3.1,0.4,0.8,-,6.53
272,Albin Ekdal Sampdoria,33, M(C),,19(7),1641,1.7,1.1,1.2,-,0.9,1.2,0.3,-,6.53
273,Mattia Destro Genoa,31, FW,,21(6),1754,0.3,0.1,1.5,-,0.6,0.2,-,-,6.53
274,Roberto Pereyra Udinese,31, M(CLR),FW,22(2),1799,0.8,0.5,1.4,-,0.4,0.7,0.2,-,6.53
275,Antonio Vacca Venezia,32, M(C),,15(6),1070,1.7,1.0,1.0,-,0.6,1.0,0.4,-,6.53
276,Maya Yoshida Sampdoria,34, D(CR),,19(7),1823,0.7,1.1,0.8,0.5,2.7,0.3,0.8,1,6.53
277,Martin Erlic Spezia,24, D(C),,30,2579,0.9,0.9,0.9,0.3,4.0,0.3,1.3,-,6.53
278,Gaetano Castrovilli Fiorentina,25, M(C),,16(7),1400,1.1,0.5,0.9,-,0.2,0.5,0.2,-,6.52
279,Adrien Silva Sampdoria,33, M(C),,12(5),1086,1.4,1.4,0.8,-,1.3,1.4,0.3,-,6.52
280,Miguel Veloso Verona,36, M(C),,17(5),1347,1.0,0.5,0.8,-,0.7,0.3,0.2,-,6.52
281,Gary Medel Bologna,35, D(C),DMC,32(1),2831,1.2,1.3,1,0.9,3.4,0.6,0.6,-,6.52
282,Aimar Sher Spezia,19, Midfielder,,0(1),45,2.0,3,-,-,1.0,1.0,-,-,6.52
283,Fabiano Parisi Empoli,21, D(L),,16(9),1474,1.4,0.9,0.9,0.2,1.4,0.7,0.4,-,6.52
284,Elseid Hysaj Lazio,28, D(LR),M(R),24(5),2031,1.6,0.8,0.6,0.2,0.9,0.6,0.2,-,6.52
285,Manuel Lazzari Lazio,28, D(R),M(R),16(15),1655,0.9,0.4,0.6,0.2,0.5,0.3,0.1,-,6.51
286,Nikola Maksimovic Genoa,30, D(CR),M(R),13(1),1116,1.0,0.9,0.7,0.1,4.1,0.1,0.8,-,6.51
287,Petko Hristov Spezia,23, D(C),,13(4),1245,1.0,1.1,0.5,0.5,2.7,0.4,1.4,-,6.51
288,Felipe Caicedo Genoa,33, FW,,1(8),279,0.3,-,0.7,-,0.3,0.1,-,-,6.51
289,Juan Jesus Napoli,31, D(CL),,14(7),1273,1.2,0.4,0.7,0.5,1.5,0.3,0.8,1,6.51
290,Jacopo Dezi Venezia,30, Midfielder,,0(1),16,-,1.0,-,-,-,1,-,-,6.51
291,Tolgay Arslan Udinese,32, M(C),,22(8),1677,1.2,0.4,0.9,-,0.7,1,0.1,-,6.51
292,Razvan Marin Cagliari,26, M(C),,31(5),2817,1.2,0.3,1,-,0.3,0.8,0.1,-,6.5
293,Adama Soumaoro Bologna,30, D(CR),,26(2),2267,0.5,1.2,0.9,0.4,3.3,0.2,0.6,1,6.5
294,Diego Coppola Verona,18, Defender,,3(1),249,2,1.0,0.5,0.8,1.3,-,0.3,-,6.5
295,Gianluca Busio Venezia,20, M(C),,23(6),1956,1.8,0.7,1.1,-,0.9,1.2,0.4,-,6.49
296,Lorenzo Tonelli Empoli,32, D(C),,8(6),868,1.2,1.4,0.6,0.4,2,0.5,0.6,1,6.49
297,Lucas Leiva Lazio,35, D(C),M(C),19(16),1698,1.6,0.8,1.1,-,1,1.1,0.3,-,6.49
298,Tommaso Augello Sampdoria,27, D(L),,25(11),2398,1,0.8,0.3,0.2,1.5,0.3,0.1,-,6.49
299,Sofian Kiyine Venezia,24, AM(CL),,14(12),1239,0.9,0.4,1.9,-,0.3,0.8,-,-,6.49
300,David Okereke Venezia,24, AM(CR),FW,24(8),2064,0.5,0.3,0.9,-,0.6,0.5,0.1,-,6.49
301,Nicolas Haas Empoli,26, M(C),,11(5),1007,2.2,0.6,1.1,-,1,1.4,0.3,-,6.49
302,Lorenzo Montipò Verona,26, GK,,34,3060,-,-,-,-,1,-,-,-,6.49
303,Marko Pjaca Torino,27, AM(CL),FW,13(11),1146,0.3,0.2,0.5,-,0.1,0.2,0.1,-,6.48
304,Alessandro Deiola Cagliari,27, M(C),,28(5),2147,1.4,0.8,1.4,-,1.3,1.1,0.3,-,6.48
305,Lazar Samardzic Udinese,20, Midfielder,,1(21),472,0.6,0.1,0.5,-,-,0.9,-,-,6.48
306,Leonardo Pavoletti Cagliari,33, FW,,14(19),1508,0.3,0.1,1.4,-,0.4,0.2,0.2,-,6.48
307,Arthur Juventus,26, DMC,,11(9),957,1.3,0.4,1,-,0.4,0.6,0.1,-,6.48
308,Cristian Ansaldi Torino,35, D(CLR),M(CLR),5(14),678,1.1,0.3,0.7,-,0.5,0.2,0.1,-,6.48
309,Ignacio Pussetto Udinese,26, AM(CLR),FW,11(17),1202,0.6,0.1,1.1,-,0.4,0.3,0.1,-,6.48
310,Bartlomiej Dragowski Fiorentina,25, GK,,7,557,-,0.1,0.1,-,0.7,-,-,-,6.48
311,Tomás Rincón Sampdoria,34, M(CR),,13(4),1171,1.3,1.1,1.3,-,0.6,1.2,0.1,-,6.48
312,Pietro Ceccaroni Venezia,26, D(C),,35,3122,1.6,0.9,0.7,0.5,4.0,0.3,0.9,-,6.47
