,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
137,Alberto Grassi Cagliari,27, DMC,,26(4),2185,2,0.5,34.3,81.3,0.1,1.1,-,6.73
138,Stanislav Lobotka Napoli,27, DMC,,19(4),1687,-,0.7,61.5,93.7,-,1.1,0.1,6.73
139,Darko Lazovic Verona,31, M(CLR),,32(2),2783,7,1.3,34.9,70.8,0.6,1.3,-,6.72
140,Filip Djuricic Sassuolo,30, AM(CLR),FW,9(3),678,1,0.9,18.3,79.5,-,0.3,0.2,6.72
141,Mërgim Vojvoda Torino,27, D(CR),M(LR),22(7),1978,3,0.7,31.7,79.1,0.7,1.7,-,6.72
142,Remo Freuler Atalanta,30, DMC,,28(1),2380,3,0.8,58.1,87.2,0.2,1.4,-,6.71
143,Johan Vásquez Genoa,23, D(CL),,27(1),2282,-,0.1,37.7,71.8,0.1,2.5,-,6.71
144,Piotr Zielinski Napoli,28, M(CL),,26(9),2099,5,1.4,31.6,84.8,0.4,0.8,-,6.71
145,Fernando Forestieri Udinese,32, AM(CL),FW,0(4),53,1,0.3,4.5,88.9,0.3,-,-,6.71
146,Andrea Belotti Torino,28, FW,,16(6),1378,1,0.5,16.0,70.7,0.1,0.2,-,6.71
147,Manolo Gabbiadini Sampdoria,30, AM(CLR),FW,15(3),1147,2,0.9,17.2,66.7,0.3,0.3,0.2,6.71
148,Sebastiano Luperto Empoli,25, D(C),,22(2),1957,2,0.4,40.3,84.4,0.1,2.5,-,6.71
149,Boris Radunovic Cagliari,26, GK,,4,271,-,-,22.5,50.0,-,6.5,-,6.7
150,Leonardo Bonucci Juventus,35, D(C),,22(2),2004,1,0.5,54.3,87.1,-,6.3,-,6.7
151,Daniele Verde Spezia,26, AM(CLR),,21(12),1959,6,1.2,20.1,79.3,1.1,1.6,-,6.7
152,Joaquín Correa Inter,28, AM(CL),FW,12(14),1024,1,0.7,13.1,82.1,-,0.5,-,6.7
153,Federico Fazio Salernitana,35, D(C),,16,1435,-,0.5,38.0,81.6,0.1,2.4,-,6.7
154,Aaron Hickey Bologna,20, D(L),M(LR),34(2),2835,1,0.5,27.4,83.0,0.2,0.4,-,6.69
155,Mikkel Damsgaard Sampdoria,22, AM(CL),,6(5),576,-,1.0,22.5,77.4,0.1,0.6,-,6.69
156,Walace Udinese,27, DMC,,33(3),2972,-,0.8,45.5,83.1,0.1,2.6,-,6.69
157,Jovane Cabral Lazio,24, AM(CLR),FW,2(1),192,-,0.3,11.7,88.6,-,0.7,-,6.69
158,Danilo D'Ambrosio Inter,33, D(CLR),M(LR),9(11),990,1,0.1,36.1,87.7,0.1,1.9,-,6.69
159,Tommaso Pobega Torino,23, AM(C),,24(9),2240,3,0.8,35.0,79.5,-,1.5,-,6.69
160,Nedim Bajrami Empoli,23, AM(C),,23(12),2063,5,1.5,20.8,79.3,1,0.4,0.1,6.68
161,Alexis Saelemaekers AC Milan,23, M(R),,22(14),1869,3,1.1,22.1,83.0,0.3,0.4,-,6.68
162,Ales Mateju Venezia,26, D(CLR),,9,731,1,0.8,26.0,75.6,0.7,1.0,-,6.68
163,Mattia Aramu Venezia,27, AM(CR),,25(7),2112,5,1.1,19.4,75.2,1.2,0.8,0.1,6.68
164,Mattia Viti Empoli,20, D(C),,16(4),1489,-,0.1,33.3,83.6,-,1.6,-,6.68
165,Nahuel Molina Udinese,24, D(R),M(R),31(4),2650,2,1.1,28.6,72.9,1.1,1.2,-,6.68
166,Mohamed Fares Genoa,26, D(L),M(L),6(3),586,1,0.6,20.4,70.1,1,1.0,0.1,6.68
167,Andrea Ranocchia Inter,34, D(C),,3(3),338,-,-,33.0,91.9,-,2.5,-,6.68
168,Simone Romagnoli Empoli,32, D(C),,17(2),1498,-,0.3,41.4,77.6,-,3.1,-,6.68
169,Francesco Caputo Sampdoria,35, FW,,31(5),2799,4,1.1,16.0,76.3,0.1,0.3,-,6.68
170,Ola Aina Torino,25, D(CLR),M(LR),17(4),1442,-,0.8,27.4,73.7,0.2,0.6,-,6.68
171,Bartosz Bereszynski Sampdoria,30, D(CLR),M(R),35,2956,3,0.6,37.4,79.1,0.4,1.4,-,6.67
172,Nicolò Zaniolo Roma,23, AM(CR),FW,23(5),1985,2,1,15.9,76.9,0.4,1.1,-,6.67
173,Lucas Torreira Fiorentina,26, DMC,,26(5),2201,1,0.7,43.8,87.7,-,2.9,0.1,6.67
174,Davide Biraschi Genoa,28, D(CR),M(R),11(3),935,-,0.2,29.2,73.8,0.3,1.8,-,6.67
175,Riccardo Orsolini Bologna,25, M(CR),FW,21(8),1794,3,0.7,22.0,70.6,0.7,1.2,-,6.67
176,Pasquale Mazzocchi Salernitana,27, D(R),M(R),15,1277,2,1.2,26.8,79.9,1.5,1.4,-,6.67
177,Luigi Sepe Salernitana,31, GK,,16,1394,-,-,32.4,68.1,-,11.6,-,6.67
178,Jakub Kiwior Spezia,22, D(C),DMC,21(1),1963,-,0.4,31.3,78.2,-,2.0,-,6.66
179,Emil Audero Sampdoria,25, GK,,29,2562,-,0.1,30.3,67.0,-,8.0,-,6.66
180,Morten Thorsby Sampdoria,26, M(CLR),,35,2952,1,0.4,28.2,71.1,-,0.5,-,6.66
181,Omar Colley Sampdoria,29, D(C),,31(1),2749,-,-,45.1,83.7,-,2.2,-,6.66
182,Nicola Zalewski Roma,20, M(L),,9(7),799,-,0.6,24.4,80.8,0.4,1.5,-,6.66
183,Luiz Felipe Lazio,25, D(C),,28(3),2494,-,0.1,58.4,91.6,-,2.7,-,6.66
184,Mattias Svanberg Bologna,23, M(CL),,31(5),2576,3,1,27.2,76.6,0.3,1.4,0.1,6.66
185,Koray Günter Verona,28, D(C),,29(1),2416,-,0.2,42.7,80.7,-,4.2,-,6.66
186,Mattia Caldara Venezia,28, D(C),,30(1),2703,-,0.1,37.2,82.0,-,3.1,-,6.66
187,Rodrigo Bentancur Juventus,25, M(C),,13(6),1157,2,0.6,39.6,87.5,-,1.7,0.1,6.65
188,Antonio Sanabria Torino,26, FW,,22(7),1814,2,0.6,16.4,72.5,-,0.5,-,6.65
189,Rodrigo Becão Udinese,26, D(C),,35,3132,1,0.3,37.3,80.5,0.1,1.5,-,6.65
190,Ivan Ilic Verona,21, M(C),,30(2),2537,4,0.6,41.0,82.3,0.5,2.1,-,6.65
191,Mamadou Coulibaly Salernitana,23, M(C),,9(3),810,-,0.4,26.8,76.9,0.2,0.8,-,6.64
192,Francesco Caputo Sassuolo,35, FW,,2,158,1,1.5,18.0,77.8,-,-,1,6.64
193,Nahitan Nández Cagliari,26, M(CLR),,16(5),1521,2,1.0,26.0,74.4,0.9,1.5,-,6.63
