,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,WC_Rating
234,Wylan Cyprien ,27, M(C),,17(7),1494,3,1.3,35.8,84.1,1.0,2.5,0.1,6.72,0
235,Thomas Mangani ,35, M(C),,25(8),2195,2,0.8,42.3,81.7,0.7,3.2,0.0,6.72,0
236,Thomas Monconduit ,31, DMC,,26(8),2254,2,0.9,36.1,79.8,0.4,3.3,0.0,6.71,0
237,Jean-Ricner Bellegarde Strasbourg,24, M(CLR),,26(10),2337,3,0.6,28.1,85.6,0.3,1.1,0.1,6.7,0
238,Pedro Chirivella ,25, DMC,,31,2647,1,0.8,54.9,85.2,0.1,5.4,0.1,6.69,0
239,Jérémy Doku ,20, AM(LR),,4(10),467,2,0.6,10.2,79.0,0.1,0.1,0.1,6.68,0
240,Pablo Rosario ,25, DMC,,31(5),2736,2,0.6,47.4,88.5,0.1,2.0,0.0,6.68,0
241,Lucien Agoumé ,20, DMC,,21(6),1869,0,0.5,36.6,84.6,0.0,2.9,0.0,6.67,0
242,Vincent Pajot ,32, M(C),,27(3),2320,0,0.5,35.4,86.0,0.1,2.2,0.0,6.67,0
243,Xeka ,27, M(C),,19(4),1622,0,0.6,36.5,81.2,0.3,2.6,0.1,6.66,0
244,Yacine Adli ,22, M(C),,25(11),2265,7,1.6,31.0,78.2,0.7,2.8,0.1,6.66,0
245,Habib Maïga ,26, DMC,M(R),16(1),1274,0,0.6,31.3,82.1,0.1,1.2,0.0,6.65,0
246,Khéphren Thuram-Ulien ,21, DMC,,20(16),1897,2,0.6,31.0,86.4,0.0,1.2,0.1,6.65,0
247,Elbasan Rashani ,29, AM(LR),,22(7),1769,3,0.5,18.5,77.1,0.3,0.2,0.0,6.65,0
248,Haris Belkebla ,28, DMC,,26(5),2312,0,0.5,31.2,84.3,0.2,1.9,0.0,6.64,0
249,Johan Gastien ,34, DMC,,32,2752,1,0.8,79.8,83.4,0.5,9.3,0.0,6.64,0
250,Jason Berthomier ,32, AM(C),,22(7),1744,5,1.6,44.4,86.6,1.3,1.7,0.1,6.63,0
251,Jordan Ferri ,30, M(C),,33(1),2920,2,0.9,73.1,84.7,0.3,6.5,0.1,6.62,0
252,Jonas Martin ,32, M(CL),,24(5),2111,1,0.3,58.1,90.7,0.0,2.8,0.1,6.62,0
253,Hicham Boudaoui ,22, M(CR),,21(8),1633,2,0.5,21.0,79.3,0.4,0.3,0.0,6.61,0
254,Xavier Chavalerin ,31, DMC,M(L),31(3),2724,2,0.7,27.9,80.1,0.4,1.5,0.1,6.61,0
255,Paul Lasne ,33, M(CLR),,9(6),847,1,0.5,26.8,84.6,0.3,1.4,0.0,6.61,0
256,Lucas da Cunha ,21, AM(R),,11(4),844,0,0.9,20.4,83.7,0.5,1.1,0.1,6.6,0
257,Florent Mollet ,30, AM(CLR),,32(3),2649,2,0.9,30.0,87.0,0.7,1.1,0.0,6.6,0
258,Bonke Innocent ,26, DMC,,11(1),878,0,0.3,31.9,86.7,0.2,1.9,0.0,6.59,0
259,Yohann Magnin ,25, DMC,,19(5),1717,0,0.3,36.9,81.7,0.1,1.5,0.0,6.58,0
260,Tristan Dingomé ,31, M(C),,12(13),1073,4,1.0,19.9,78.7,0.7,1.0,0.1,6.58,0
261,Javairô Dilrosun ,24, AM(CLR),,19(13),1738,6,1.0,16.4,80.2,0.6,0.8,0.0,6.57,0
262,Moreto Cassamá ,24, DMC,,11(6),808,0,0.5,24.3,83.3,0.4,2.0,0.0,6.57,0
263,Mathias Lage ,25, M(CLR),,11(13),1038,2,0.4,16.6,73.9,0.1,0.4,0.0,6.54,0
264,Pape Sarr ,19, AM(C),,22(11),2130,3,0.6,30.3,83.3,0.0,1.7,0.1,6.54,0
265,David da Costa ,21, AM(C),,16(17),1463,5,1.2,22.7,84.5,0.1,0.5,0.1,6.53,0
266,Joris Chotard ,20, DMC,,33(3),2942,1,0.3,35.0,84.9,0.2,2.2,0.0,6.53,0
