,name,age,position1,position2,Apps,Mins,Tackles,Inter,Clear,Blocks,Rating,WC_Rating
150,Leonardo Bonucci ,35, D(C),,22(2),2004,0.6,1.1,3.4,0.7,6.7,0
153,Federico Fazio ,35, D(C),,16,1435,1.1,1.7,4.2,1,6.7,0
154,Aaron Hickey ,20, D(L),M(LR),34(2),2835,1.3,0.8,1,0.4,6.69,0
158,Danilo D'Ambrosio ,33, D(CLR),M(LR),9(11),990,1.5,0.4,0.9,0.5,6.69,0
164,Mattia Viti ,20, D(C),,16(4),1489,1.4,1.5,3.3,1.3,6.68,0
165,Nahuel Molina ,24, D(R),M(R),31(4),2650,1.2,0.6,1,0.1,6.68,0
168,Simone gnoli ,32, D(C),,17(2),1498,1.5,0.5,4.5,1.5,6.68,0
170,Ola Aina ,25, D(CLR),M(LR),17(4),1442,1.3,1.3,1.2,0.1,6.68,0
171,Bartosz Bereszynski ,30, D(CLR),M(R),35,2956,1.8,1.2,1.5,0.3,6.67,0
174,Davide Biraschi ,28, D(CR),M(R),11(3),935,2.2,1.1,1.9,0.6,6.67,0
176,Pasquale Mazzocchi ,27, D(R),M(R),15,1277,1.9,0.7,1.9,0,6.67,0
178,Jakub Kiwior Spezia,22, D(C),DMC,21(1),1963,2.3,1.8,2.2,0.7,6.66,0
181,Omar Colley ,29, D(C),,31(1),2749,1.5,2.5,4.2,0.6,6.66,0
183,Luiz Felipe ,25, D(C),,28(3),2494,1.3,1.1,3.2,1.1,6.66,0
185,Koray Günter ,28, D(C),,29(1),2416,1.1,2.3,3.5,0.7,6.66,0
186,Mattia Caldara ,28, D(C),,30(1),2703,1.5,2,4.6,1.2,6.66,0
189,Rodrigo Becão ,26, D(C),,35,3132,2.3,1.2,2.5,0.6,6.65,0
194,Alessandro Florenzi ,31, D(R),M(CLR),12(12),1152,1.2,1.1,0.3,0.1,6.63,0
196,Bram Nuytinck ,32, D(C),,23(4),2037,1.4,0.8,3.5,1.1,6.63,0
197,Silvan Hefti ,24, D(R),,14(2),1290,3.1,1.3,1.8,0.3,6.63,0
198,Davide Zappacosta ,30, D(R),M(LR),29(5),2360,0.9,0.4,0.5,0.1,6.63,0
201,Igor Julio ,24, D(C),M(L),23(7),2240,1.8,1,1.4,0.6,6.62,0
202,Alex Ferrari ,28, D(CR),,20(3),1653,1.7,1.7,2.7,1,6.62,0
204,Koffi Djidji ,29, D(CL),,21(4),1738,1.9,1.4,2.3,0.4,6.61,0
